base_probe_id,symbol,method,requested_eastern_start,requested_eastern_end,expected_eligible_sessions,expected_regular_session_bars,returned_regular_session_bars,primary_session_bars,early_close_session_bars,extended_hours_bars,regular_session_coverage_pct,missing_regular_session_bars,duplicate_bar_rate_pct,zero_volume_rate_pct,invalid_ohlc_rows,non_five_minute_intervals,timestamp_semantics_classification,date_bound_classification,threshold_result
full-SPY-sip,SPY,sip,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,994,77532,77532,77532,378,110209,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
full-SPY-iex,SPY,iex,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,994,77532,77382,77382,378,5527,99.8065,150,0.0,0.0,0,0,ambiguous,honored_exactly,passed
window-2022-02-SPY-sip,SPY,sip,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,1482,1482,0,2048,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2022-02-SPY-iex,SPY,iex,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,1482,1482,0,172,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2022-02-AAPL-sip,AAPL,sip,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,1482,1482,0,1983,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2022-02-AAPL-iex,AAPL,iex,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,1482,1482,0,26,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2022-02-JPM-sip,JPM,sip,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,1482,1482,0,904,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2022-02-JPM-iex,JPM,iex,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,1481,1481,0,1,99.9325,1,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2023-08-SPY-sip,SPY,sip,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,1794,1794,0,2566,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2023-08-SPY-iex,SPY,iex,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,1794,1794,0,79,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2023-08-AAPL-sip,AAPL,sip,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,1794,1794,0,2522,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2023-08-AAPL-iex,AAPL,iex,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,1794,1794,0,22,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2023-08-JPM-sip,JPM,sip,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,1794,1794,0,659,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2023-08-JPM-iex,JPM,iex,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,1746,1746,0,2,97.3244,48,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2024-06-SPY-sip,SPY,sip,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,19,1482,1482,1482,0,2044,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2024-06-SPY-iex,SPY,iex,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,19,1482,1481,1481,0,19,99.9325,1,0.0,0.0,0,0,ambiguous,honored_exactly,passed
window-2024-06-AAPL-sip,AAPL,sip,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,19,1482,1482,1482,0,2086,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2024-06-AAPL-iex,AAPL,iex,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,19,1482,1482,1482,0,5,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2024-06-JPM-sip,JPM,sip,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,19,1482,1482,1482,0,526,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
window-2024-06-JPM-iex,JPM,iex,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,19,1482,1419,1419,0,0,95.749,63,0.0,0.0,0,0,undetermined,honored_exactly,passed
window-2025-12-SPY-sip,SPY,sip,2025-12-01T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,21,1638,1638,1638,42,2502,100.0,0,0.0,0.0,0,0,bar_start,honored_exactly,passed
