base_probe_id,symbol,method,repetition,http_status,raw_candle_count,page_count,pagination_complete,repeated_page_token,pagination_cycle_detected,page_bar_counts,token_sequence_sha256
full-SPY-sip,SPY,sip,1,200,188119,83,True,False,False,"2225,2127,2221,2100,2226,2288,2205,2171,2178,2175,2210,2228,2297,2265,2219,2121,2142,2152,2153,2214,2204,2258,2204,2193,2252,2124,2274,2288,2318,2266,2358,2394,2381,2336,2348,2406,2276,2296,2288,2415,2398,2409,2388,2377,2398,2378,2416,2277,2429,2415,2449,2509,2312,2255,2422,2412,2400,2385,2340,2433,2403,2411,2322,2442,2206,2272,2078,2183,2236,2193,2239,2273,2305,2238,2350,2363,2315,2253,2209,2075,2120,2105,930",c5372b48a4683a241d85a0438b8fc7ce304cbf02e24f5e89035c304ae7d13602
full-SPY-sip,SPY,sip,2,200,188119,83,True,False,False,"2225,2127,2221,2100,2226,2288,2205,2171,2178,2175,2210,2228,2297,2265,2219,2121,2142,2152,2153,2214,2204,2258,2204,2193,2252,2124,2274,2288,2318,2266,2358,2394,2381,2336,2348,2406,2276,2296,2288,2415,2398,2409,2388,2377,2398,2378,2416,2277,2429,2415,2449,2509,2312,2255,2422,2412,2400,2385,2340,2433,2403,2411,2322,2442,2206,2272,2078,2183,2236,2193,2239,2273,2305,2238,2350,2363,2315,2253,2209,2075,2120,2105,930",c5372b48a4683a241d85a0438b8fc7ce304cbf02e24f5e89035c304ae7d13602
full-SPY-iex,SPY,iex,1,200,83287,40,True,False,False,"2175,2166,2149,2178,2168,2149,2128,2148,2141,2144,2119,2115,2121,2125,2115,2120,2071,2043,2047,2059,2043,2046,2074,2167,2194,2130,2100,2170,2105,2091,2101,2079,2121,2111,2072,2124,2077,2117,2220,664",9085cd2f841b544b2c067ba8c89fae5ed5dbae3a27b61f3b2570df858e8da9f7
full-SPY-iex,SPY,iex,2,200,83287,40,True,False,False,"2175,2166,2149,2178,2168,2149,2128,2148,2141,2144,2119,2115,2121,2125,2115,2120,2071,2043,2047,2059,2043,2046,2074,2167,2194,2130,2100,2170,2105,2091,2101,2079,2121,2111,2072,2124,2077,2117,2220,664",9085cd2f841b544b2c067ba8c89fae5ed5dbae3a27b61f3b2570df858e8da9f7
window-2022-02-SPY-sip,SPY,sip,1,200,3530,2,True,False,False,"2227,1303",24cb6886ad8c20cadaa106c08bc63078d23757aaa3c88601dc38c7fe6be9c955
window-2022-02-SPY-sip,SPY,sip,2,200,3530,2,True,False,False,"2227,1303",24cb6886ad8c20cadaa106c08bc63078d23757aaa3c88601dc38c7fe6be9c955
window-2022-02-SPY-iex,SPY,iex,1,200,1654,1,True,False,False,1654,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2022-02-SPY-iex,SPY,iex,2,200,1654,1,True,False,False,1654,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2022-02-AAPL-sip,AAPL,sip,1,200,3465,2,True,False,False,"2317,1148",4c08b818d12855853e7410aaae10ca8be63df42f672d1fd466a7157eec04cb11
window-2022-02-AAPL-sip,AAPL,sip,2,200,3465,2,True,False,False,"2317,1148",4c08b818d12855853e7410aaae10ca8be63df42f672d1fd466a7157eec04cb11
window-2022-02-AAPL-iex,AAPL,iex,1,200,1508,1,True,False,False,1508,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2022-02-AAPL-iex,AAPL,iex,2,200,1508,1,True,False,False,1508,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2022-02-JPM-sip,JPM,sip,1,200,2386,1,True,False,False,2386,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2022-02-JPM-sip,JPM,sip,2,200,2386,1,True,False,False,2386,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2022-02-JPM-iex,JPM,iex,1,200,1482,1,True,False,False,1482,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2022-02-JPM-iex,JPM,iex,2,200,1482,1,True,False,False,1482,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2023-08-SPY-sip,SPY,sip,1,200,4360,2,True,False,False,"2315,2045",73f4faf84b06e3c9d995ccc61e94cacfca79b2965246f009d8593f72ebc79063
window-2023-08-SPY-sip,SPY,sip,2,200,4360,2,True,False,False,"2315,2045",73f4faf84b06e3c9d995ccc61e94cacfca79b2965246f009d8593f72ebc79063
window-2023-08-SPY-iex,SPY,iex,1,200,1873,1,True,False,False,1873,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2023-08-SPY-iex,SPY,iex,2,200,1873,1,True,False,False,1873,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2023-08-AAPL-sip,AAPL,sip,1,200,4316,2,True,False,False,"2339,1977",ceaa60c0f44befc69f1cc9dc77cc9de2e7c073aaa8efc2ac8e5a2fc8810874fc
window-2023-08-AAPL-sip,AAPL,sip,2,200,4316,2,True,False,False,"2339,1977",ceaa60c0f44befc69f1cc9dc77cc9de2e7c073aaa8efc2ac8e5a2fc8810874fc
window-2023-08-AAPL-iex,AAPL,iex,1,200,1816,1,True,False,False,1816,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2023-08-AAPL-iex,AAPL,iex,2,200,1816,1,True,False,False,1816,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2023-08-JPM-sip,JPM,sip,1,200,2453,1,True,False,False,2453,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2023-08-JPM-sip,JPM,sip,2,200,2453,1,True,False,False,2453,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2023-08-JPM-iex,JPM,iex,1,200,1748,1,True,False,False,1748,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2023-08-JPM-iex,JPM,iex,2,200,1748,1,True,False,False,1748,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2024-06-SPY-sip,SPY,sip,1,200,3526,2,True,False,False,"2459,1067",65c3ded141a9e92339871b0237deaa92638d63ea7600a616cee464382ed361b0
window-2024-06-SPY-sip,SPY,sip,2,200,3526,2,True,False,False,"2459,1067",65c3ded141a9e92339871b0237deaa92638d63ea7600a616cee464382ed361b0
window-2024-06-SPY-iex,SPY,iex,1,200,1500,1,True,False,False,1500,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2024-06-SPY-iex,SPY,iex,2,200,1500,1,True,False,False,1500,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2024-06-AAPL-sip,AAPL,sip,1,200,3568,2,True,False,False,"2352,1216",d64cae62bba525e1bfb9ad5f1c9cbc863096bc39e4277242ccc3d6494497b8f0
window-2024-06-AAPL-sip,AAPL,sip,2,200,3568,2,True,False,False,"2352,1216",d64cae62bba525e1bfb9ad5f1c9cbc863096bc39e4277242ccc3d6494497b8f0
window-2024-06-AAPL-iex,AAPL,iex,1,200,1487,1,True,False,False,1487,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2024-06-AAPL-iex,AAPL,iex,2,200,1487,1,True,False,False,1487,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2024-06-JPM-sip,JPM,sip,1,200,2008,1,True,False,False,2008,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2024-06-JPM-sip,JPM,sip,2,200,2008,1,True,False,False,2008,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2024-06-JPM-iex,JPM,iex,1,200,1419,1,True,False,False,1419,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2024-06-JPM-iex,JPM,iex,2,200,1419,1,True,False,False,1419,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2025-12-SPY-sip,SPY,sip,1,200,4182,2,True,False,False,"2120,2062",5f4ac81393a87bda07c163dbaab4986e3c33977f2ddbfafcacf5a32e85dc7354
window-2025-12-SPY-sip,SPY,sip,2,200,4182,2,True,False,False,"2120,2062",5f4ac81393a87bda07c163dbaab4986e3c33977f2ddbfafcacf5a32e85dc7354
window-2025-12-SPY-iex,SPY,iex,1,200,1967,1,True,False,False,1967,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2025-12-SPY-iex,SPY,iex,2,200,1967,1,True,False,False,1967,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2025-12-AAPL-sip,AAPL,sip,1,200,3821,2,True,False,False,"2659,1162",28451f5fca75d8a629ff9ff1ad9f07ca90dc18332b8b385877a1b0a624bad084
window-2025-12-AAPL-sip,AAPL,sip,2,200,3821,2,True,False,False,"2659,1162",28451f5fca75d8a629ff9ff1ad9f07ca90dc18332b8b385877a1b0a624bad084
window-2025-12-AAPL-iex,AAPL,iex,1,200,1692,1,True,False,False,1692,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2025-12-AAPL-iex,AAPL,iex,2,200,1692,1,True,False,False,1692,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2025-12-JPM-sip,JPM,sip,1,200,2718,2,True,False,False,"2661,57",d1296e1c79e4823f3a5280336ad5abc6fd3ff93eb85a7d314140ffd7a829eb47
