window,symbol,repetition,candidate_probe_id,comparison_probe_id,candidate_hash,comparison_hash,candidate_bars,comparison_bars,volume_difference,classification
full-SPY,SPY,1,full-SPY-sip-rep1,full-SPY-iex-rep1,5117331463e60936af12fb412afda02a654cbf8b4d983cce980fb9d7297db434,26f0d5c971b8c966a2b37b898822892e24a4c0e397ce65394b8d1d73ecf19a96,188119,83287,,different_timestamps
full-SPY,SPY,2,full-SPY-sip-rep2,full-SPY-iex-rep2,5117331463e60936af12fb412afda02a654cbf8b4d983cce980fb9d7297db434,26f0d5c971b8c966a2b37b898822892e24a4c0e397ce65394b8d1d73ecf19a96,188119,83287,,different_timestamps
window-2022-02-SPY,SPY,1,window-2022-02-SPY-sip-rep1,window-2022-02-SPY-iex-rep1,25944df2ffec820fd3ce4cc2dee1d765aa3ac8ec67e9d5c0339bb94b3be44fcd,b9f7646953a722b4be2471a18e114b244fdf1125b79a701ac90b7cd4422a97f4,3530,1654,,different_timestamps
window-2022-02-SPY,SPY,2,window-2022-02-SPY-sip-rep2,window-2022-02-SPY-iex-rep2,25944df2ffec820fd3ce4cc2dee1d765aa3ac8ec67e9d5c0339bb94b3be44fcd,b9f7646953a722b4be2471a18e114b244fdf1125b79a701ac90b7cd4422a97f4,3530,1654,,different_timestamps
window-2022-02-AAPL,AAPL,1,window-2022-02-AAPL-sip-rep1,window-2022-02-AAPL-iex-rep1,6c3df8d3f8b09e10d1b242991c3b38e05176c6f1f8e97e1b8cbc59d5555f9f47,8bd3f98ac828d4f1783f7c50849e3022211fafeee0536d1e0762c2ca35a3c25c,3465,1508,,different_timestamps
window-2022-02-AAPL,AAPL,2,window-2022-02-AAPL-sip-rep2,window-2022-02-AAPL-iex-rep2,6c3df8d3f8b09e10d1b242991c3b38e05176c6f1f8e97e1b8cbc59d5555f9f47,8bd3f98ac828d4f1783f7c50849e3022211fafeee0536d1e0762c2ca35a3c25c,3465,1508,,different_timestamps
window-2022-02-JPM,JPM,1,window-2022-02-JPM-sip-rep1,window-2022-02-JPM-iex-rep1,cc4c285c15c0e1107b95ccae91af758026ea94e9c7de83d862d64b0253d7bc4c,2ac6f27bb72b7c96e5e630b0fb2f6f7f5976b9f5173f7044074f1b1a032c6386,2386,1482,,different_timestamps
window-2022-02-JPM,JPM,2,window-2022-02-JPM-sip-rep2,window-2022-02-JPM-iex-rep2,cc4c285c15c0e1107b95ccae91af758026ea94e9c7de83d862d64b0253d7bc4c,2ac6f27bb72b7c96e5e630b0fb2f6f7f5976b9f5173f7044074f1b1a032c6386,2386,1482,,different_timestamps
window-2023-08-SPY,SPY,1,window-2023-08-SPY-sip-rep1,window-2023-08-SPY-iex-rep1,b85fffbf46ec846b11653142a64257d41af7ebbfb5149f127d2f17cecd5e0009,5add82af197f176c7b95fbb7a9b82bca446a57ac4338b6084565e48d5f093a67,4360,1873,,different_timestamps
window-2023-08-SPY,SPY,2,window-2023-08-SPY-sip-rep2,window-2023-08-SPY-iex-rep2,b85fffbf46ec846b11653142a64257d41af7ebbfb5149f127d2f17cecd5e0009,5add82af197f176c7b95fbb7a9b82bca446a57ac4338b6084565e48d5f093a67,4360,1873,,different_timestamps
