probe_id,symbol,method,repetition,requested_eastern_start,requested_eastern_end,requested_utc_start,requested_utc_end,http_status,safe_error_classification,raw_candle_count,normalized_candle_count,raw_earliest_timestamp,raw_latest_timestamp,requested_range_earliest,requested_range_latest,out_of_range_candles,unique_regular_sessions,expected_eligible_sessions,expected_regular_session_bars,returned_regular_session_bars,primary_session_bars,early_close_session_bars,extended_hours_bars,regular_session_coverage_pct,missing_regular_session_bars,duplicate_timestamps,duplicate_bar_rate_pct,zero_volume_bars,zero_volume_rate_pct,invalid_ohlc_rows,non_five_minute_intervals,candle_payload_sha256,requested_range_normalized_sha256,date_bound_classification,timestamp_semantics_classification,threshold_result,retry_after_seconds,notes,page_count,next_page_token_present,pagination_complete,repeated_page_token,pagination_cycle_detected
full-SPY-sip-rep1,SPY,sip,1,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2022-01-03T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,188119,188119,2022-01-03T09:00:00.000000+0000,2026-01-01T00:55:00.000000+0000,2022-01-03T09:00:00.000000+0000,2026-01-01T00:55:00.000000+0000,0,994,994,77532,77532,77532,378,110209,100.0,0,0,0.0,0,0.0,0,0,,5117331463e60936af12fb412afda02a654cbf8b4d983cce980fb9d7297db434,honored_exactly,inconsistent,passed,,,83,True,True,False,False
full-SPY-sip-rep2,SPY,sip,2,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2022-01-03T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,188119,188119,2022-01-03T09:00:00.000000+0000,2026-01-01T00:55:00.000000+0000,2022-01-03T09:00:00.000000+0000,2026-01-01T00:55:00.000000+0000,0,994,994,77532,77532,77532,378,110209,100.0,0,0,0.0,0,0.0,0,0,,5117331463e60936af12fb412afda02a654cbf8b4d983cce980fb9d7297db434,honored_exactly,inconsistent,passed,,,83,True,True,False,False
full-SPY-iex-rep1,SPY,iex,1,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2022-01-03T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,83287,83287,2022-01-03T13:40:00.000000+0000,2025-12-31T20:55:00.000000+0000,2022-01-03T13:40:00.000000+0000,2025-12-31T20:55:00.000000+0000,0,993,994,77532,77382,77382,378,5527,99.80653149667235,150,0,0.0,0,0.0,0,0,,26f0d5c971b8c966a2b37b898822892e24a4c0e397ce65394b8d1d73ecf19a96,honored_exactly,inconsistent,passed,,,40,True,True,False,False
full-SPY-iex-rep2,SPY,iex,2,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2022-01-03T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,83287,83287,2022-01-03T13:40:00.000000+0000,2025-12-31T20:55:00.000000+0000,2022-01-03T13:40:00.000000+0000,2025-12-31T20:55:00.000000+0000,0,993,994,77532,77382,77382,378,5527,99.80653149667235,150,0,0.0,0,0.0,0,0,,26f0d5c971b8c966a2b37b898822892e24a4c0e397ce65394b8d1d73ecf19a96,honored_exactly,inconsistent,passed,,,40,True,True,False,False
window-2022-02-SPY-sip-rep1,SPY,sip,1,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,3530,3530,2022-02-01T09:00:00.000000+0000,2022-03-01T00:55:00.000000+0000,2022-02-01T09:00:00.000000+0000,2022-03-01T00:55:00.000000+0000,0,19,19,1482,1482,1482,0,2048,100.0,0,0,0.0,0,0.0,0,0,,25944df2ffec820fd3ce4cc2dee1d765aa3ac8ec67e9d5c0339bb94b3be44fcd,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2022-02-SPY-sip-rep2,SPY,sip,2,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,3530,3530,2022-02-01T09:00:00.000000+0000,2022-03-01T00:55:00.000000+0000,2022-02-01T09:00:00.000000+0000,2022-03-01T00:55:00.000000+0000,0,19,19,1482,1482,1482,0,2048,100.0,0,0,0.0,0,0.0,0,0,,25944df2ffec820fd3ce4cc2dee1d765aa3ac8ec67e9d5c0339bb94b3be44fcd,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2022-02-SPY-iex-rep1,SPY,iex,1,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,1654,1654,2022-02-01T14:30:00.000000+0000,2022-02-28T21:55:00.000000+0000,2022-02-01T14:30:00.000000+0000,2022-02-28T21:55:00.000000+0000,0,19,19,1482,1482,1482,0,172,100.0,0,0,0.0,0,0.0,0,0,,b9f7646953a722b4be2471a18e114b244fdf1125b79a701ac90b7cd4422a97f4,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2022-02-SPY-iex-rep2,SPY,iex,2,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,1654,1654,2022-02-01T14:30:00.000000+0000,2022-02-28T21:55:00.000000+0000,2022-02-01T14:30:00.000000+0000,2022-02-28T21:55:00.000000+0000,0,19,19,1482,1482,1482,0,172,100.0,0,0,0.0,0,0.0,0,0,,b9f7646953a722b4be2471a18e114b244fdf1125b79a701ac90b7cd4422a97f4,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2022-02-AAPL-sip-rep1,AAPL,sip,1,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,3465,3465,2022-02-01T09:00:00.000000+0000,2022-03-01T00:55:00.000000+0000,2022-02-01T09:00:00.000000+0000,2022-03-01T00:55:00.000000+0000,0,19,19,1482,1482,1482,0,1983,100.0,0,0,0.0,0,0.0,0,0,,6c3df8d3f8b09e10d1b242991c3b38e05176c6f1f8e97e1b8cbc59d5555f9f47,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2022-02-AAPL-sip-rep2,AAPL,sip,2,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,3465,3465,2022-02-01T09:00:00.000000+0000,2022-03-01T00:55:00.000000+0000,2022-02-01T09:00:00.000000+0000,2022-03-01T00:55:00.000000+0000,0,19,19,1482,1482,1482,0,1983,100.0,0,0,0.0,0,0.0,0,0,,6c3df8d3f8b09e10d1b242991c3b38e05176c6f1f8e97e1b8cbc59d5555f9f47,honored_exactly,inconsistent,passed,,,2,True,True,False,False
