symbol,effective_month,split,expected_sessions,actual_sessions,expected_bars,actual_bars,missing_bars,missing_bar_rate_pct,duplicate_bars,duplicate_bar_rate_pct,zero_volume_bars,zero_volume_bar_rate_pct,invalid_ohlc_rows,off_grid_bars,premarket_removed,after_hours_removed,early_close_removed,ohlc_consistency_violations,provider_feed,adjustment,requested_symbol,returned_symbol,symbol_mismatch,pagination_complete,rejected,rejection_reason
AAPL,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2478,1784,142,0,sip,raw,AAPL,AAPL,False,True,False,
ADBE,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,767,557,62,0,sip,raw,ADBE,ADBE,False,True,False,
AMAT,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,979,541,59,0,sip,raw,AMAT,AMAT,False,True,False,
AMD,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2611,1880,156,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2444,1816,132,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,1029,653,69,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2492,1764,154,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,1617,1271,95,0,sip,raw,BA,BA,False,True,False,
BAC,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1329,982,80,0,sip,raw,BAC,BAC,False,True,False,
BKNG,2025-01,unknown,40,40,3120,2395,725,23.2372,0,0.0,0,0.0,0,40,10,51,33,0,sip,raw,BKNG,BKNG,False,True,True,missing_bar_rate
BRK.A,2025-01,unknown,40,40,3120,3117,3,0.0962,0,0.0,0,0.0,0,39,18,12,43,0,sip,raw,BRK.A,BRK.A,False,True,False,
BRK.B,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,720,568,59,0,sip,raw,BRK.B,BRK.B,False,True,False,
COIN,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2433,1552,145,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,345,344,56,0,sip,raw,COST,COST,False,True,False,
CRM,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1016,656,53,0,sip,raw,CRM,CRM,False,True,False,
CRWD,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,788,697,75,0,sip,raw,CRWD,CRWD,False,True,False,
CVX,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,775,559,60,0,sip,raw,CVX,CVX,False,True,False,
GOOG,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,2232,1530,121,0,sip,raw,GOOG,GOOG,False,True,False,
GOOGL,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2416,1635,134,0,sip,raw,GOOGL,GOOGL,False,True,False,
HD,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,296,228,48,0,sip,raw,HD,HD,False,True,False,
INTC,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2646,1885,155,0,sip,raw,INTC,INTC,False,True,False,
