symbol,effective_month,split,expected_sessions,actual_sessions,expected_bars,actual_bars,missing_bars,missing_bar_rate_pct,pre_dedup_duplicate_bars,duplicate_bars,duplicate_bar_rate_pct,malformed_rows,malformed_row_rate_pct,zero_volume_bars,zero_volume_bar_rate_pct,invalid_ohlc_rows,off_grid_bars,premarket_removed,after_hours_removed,early_close_removed,ohlc_consistency_violations,provider_feed,adjustment,requested_symbol,returned_symbol,symbol_mismatch,pagination_complete,rejected,rejection_reason
AAPL,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AAPL,AAPL,False,True,False,
ADBE,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,ADBE,ADBE,False,True,False,
AMAT,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AMAT,AMAT,False,True,False,
AMD,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BA,BA,False,True,False,
BAC,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BAC,BAC,False,True,False,
BKNG,2025-01,development,40,40,3120,2395,725,23.2372,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BKNG,BKNG,False,True,True,missing_bar_rate
BRK.A,2025-01,development,40,40,3120,3117,3,0.0962,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BRK.A,BRK.A,False,True,False,
BRK.B,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BRK.B,BRK.B,False,True,False,
COIN,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,COST,COST,False,True,False,
CRM,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CRM,CRM,False,True,False,
CRWD,2025-01,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CRWD,CRWD,False,True,False,
