manifest_id,symbol,effective_month,feed,timeframe,adjustment,start_utc,end_utc,regular_session_bars,regular_session_sessions,missing_bars,missing_bar_rate_pct,pre_dedup_duplicate_bars,duplicate_bars,duplicate_bar_rate_pct,malformed_rows,malformed_row_rate_pct,zero_volume_bars,zero_volume_bar_rate_pct,invalid_ohlc_rows,off_grid_bars,premarket_removed,after_hours_removed,early_close_removed,file_size_bytes,sha256,relative_path,requested_symbol,returned_symbol,pagination_complete,page_count
2025-01/AAPL,AAPL,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,111007,2578fea6a8f2a38f28eb646d393ed5250f19800fd76f21337250f01507854c61,2025-01/AAPL.parquet,AAPL,AAPL,True,1
2025-01/ADBE,ADBE,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,113399,037e39b0f8ae5886f7feab8564e1d7465099097764512e4617a6d48396be4c74,2025-01/ADBE.parquet,ADBE,ADBE,True,1
2025-01/AMAT,AMAT,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,106130,245bc06201e7a0d66789c7f48f1d247aa968330ce157313e6ec26aa24005be3c,2025-01/AMAT.parquet,AMAT,AMAT,True,1
2025-01/AMD,AMD,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,111332,8aedf3518d2c725e8b56565c75dcf97f1e0ba516481e8febb33322a55703a97c,2025-01/AMD.parquet,AMD,AMD,True,1
2025-01/AMZN,AMZN,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,108692,b4fddc2f30a70fd498647d867d00f188c85a5a732da1805939675aed08c377c0,2025-01/AMZN.parquet,AMZN,AMZN,True,1
2025-01/APP,APP,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,114613,a429f4bd6bb7367843976aeac35c1ccaa36bb49f493a96b56f38a687584fefc7,2025-01/APP.parquet,APP,APP,True,1
2025-01/AVGO,AVGO,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,115412,b8b352478e25fd751046a4f541654d50591379b41797130b8b267d3c9005f829,2025-01/AVGO.parquet,AVGO,AVGO,True,1
2025-01/BA,BA,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,108060,5d110078831cf43e43865351aa015f97bdb6fd5acc0fa48434cd01b8f01f0673,2025-01/BA.parquet,BA,BA,True,1
2025-01/BAC,BAC,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,85192,eed6cd5cf77b48ce0155ec8ca9bd957ed6f80069ad9e74d3f849a062c9bbffd2,2025-01/BAC.parquet,BAC,BAC,True,1
2025-01/BKNG,BKNG,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,2395,40,725,23.2372,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,93052,ffb93ab189503d7e2e56685fe841e41c5ac1096aa3a6b91165956556b7b3ebc9,2025-01/BKNG.parquet,BKNG,BKNG,True,1
2025-01/BRK.A,BRK.A,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3117,40,3,0.0962,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,112784,5a9217f943f3e899fd6dccf871739ff7f138c3f81c9a29d43c39bc1c7d7e68b1,2025-01/BRK.A.parquet,BRK.A,BRK.A,True,1
2025-01/BRK.B,BRK.B,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,109501,e3bb6cbc449def40fb8297609ba18f7c899bc868f28de06d92ab1d21b54261c9,2025-01/BRK.B.parquet,BRK.B,BRK.B,True,1
2025-01/COIN,COIN,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,119309,fd02c64b005a7fe304f6ab8b618c6666fdf0ce2a7933e3bf3aaf5ba3760ae78a,2025-01/COIN.parquet,COIN,COIN,True,1
2025-01/COST,COST,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,115395,1397b6a11f1349c55a35e7c2359a7adf30ca7b0b285f173f1ef92bfb614d900c,2025-01/COST.parquet,COST,COST,True,1
2025-01/CRM,CRM,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,110545,36c4fd76c10a781bb42f10a68817416fd9d538effe7f5db1fb149623c3c9e4f0,2025-01/CRM.parquet,CRM,CRM,True,1
2025-01/CRWD,CRWD,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,113750,5cdbae6b6aa27d9e672e8811d88d5ca0c57440c30ac6d305d3af540649b5a9d5,2025-01/CRWD.parquet,CRWD,CRWD,True,1
2025-01/CVX,CVX,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,99508,64f0da7e50d5195e39e16bdf353efd81ebe7671a408faa98f65e7ecef2716bb1,2025-01/CVX.parquet,CVX,CVX,True,1
2025-01/GOOG,GOOG,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,100417,c033233ebe9898ff6a9c279a59d215a7005fd1a71084b3a294280073100b293b,2025-01/GOOG.parquet,GOOG,GOOG,True,1
2025-01/GOOGL,GOOGL,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,101088,e94f2d9c6a377b2d4d13e9b5b59c088a812b5e1e7bb137b190e0505761fa52fe,2025-01/GOOGL.parquet,GOOGL,GOOGL,True,1
2025-01/HD,HD,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,108364,89dad4e34674aa62f0934d3800bb49d902a40da7cbdb7fe75f3f7e0a9fad1122,2025-01/HD.parquet,HD,HD,True,1
2025-01/INTC,INTC,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,88224,5c1c357343bc1bf922727d31e870a9f7f76c77e0c98652839024bb60c60d1292,2025-01/INTC.parquet,INTC,INTC,True,1
2025-01/JNJ,JNJ,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,96541,d767f30b4b07d7eb31c5e80b764f02bbb9d22f7f50d6227e81d7a95a08b75797,2025-01/JNJ.parquet,JNJ,JNJ,True,1
2025-01/JPM,JPM,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,104725,cd01c28e0eaaac2138c5ccfa395386883bcb6159dfc37f721dfec08ff27f7ba7,2025-01/JPM.parquet,JPM,JPM,True,1
2025-01/KO,KO,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,82487,ef24a965fef5f59859576d57c2452b91aac860c665c883e636cd0f8d43b35205,2025-01/KO.parquet,KO,KO,True,1
2025-01/LLY,LLY,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,116144,542f053d95e3299ed9ae333600c46566a9b3e2af704f58dbf3648255cf28e6e0,2025-01/LLY.parquet,LLY,LLY,True,1
2025-01/MA,MA,2025-01,sip,5Min,raw,2024-12-02T05:00:00Z,2025-02-01T05:00:00Z,3120,40,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,104478,462d3f05f486ff285a4a0e78f99074e53c460565b5238f73498881095e812d17,2025-01/MA.parquet,MA,MA,True,1
