exclusion_marker,mapped_category,observed_count,provider_type_value
exclude,unknown,0,ADRC
exclude,preferred_stock,0,ADRP
exclude,right,0,ADRR
exclude,warrant,0,ADRW
exclude,unknown,0,AGEN
exclude,unknown,0,BASKET
exclude,unknown,0,BOND
include,common_stock,0,CS
exclude,unknown,0,EQLK
exclude,etf,0,ETF
exclude,etf,0,ETN
exclude,etf,0,ETS
exclude,etf,0,ETV
exclude,other,0,FUND
exclude,unknown,0,GDR
exclude,unknown,0,LT
exclude,unknown,0,NYRS
exclude,unknown,0,OS
exclude,unknown,0,OTHER
exclude,preferred_stock,0,PFD
exclude,right,0,RIGHT
exclude,unknown,0,SP
exclude,unit,0,UNIT
exclude,warrant,0,WARRANT
