elapsed_seconds,error,full_snapshot_sha256,http_status,max_pages_reached,page_count,pagination_complete,pit_date,provider,raw_sha256,repeat_match,repeat_sha256,requested_at,row_count,state
145.559561,,095780c9db141ce2e713322e17d29a2d43fff95ca772fd08f942a29a7dc47859,200,False,12,True,2025-08-31,massive,095780c9db141ce2e713322e17d29a2d43fff95ca772fd08f942a29a7dc47859,,,2026-08-08T03:25:10.552766+00:00,11689,active
133.702163,,095780c9db141ce2e713322e17d29a2d43fff95ca772fd08f942a29a7dc47859,200,False,12,True,2025-08-31,massive,095780c9db141ce2e713322e17d29a2d43fff95ca772fd08f942a29a7dc47859,True,095780c9db141ce2e713322e17d29a2d43fff95ca772fd08f942a29a7dc47859,2026-08-08T03:27:48.265044+00:00,11689,active
266.675956,,01f6e4332110504a8cd9e8741c58ab940ede24a453cd4347c0759e0894ec77b3,200,False,23,True,2025-08-31,massive,01f6e4332110504a8cd9e8741c58ab940ede24a453cd4347c0759e0894ec77b3,,,2026-08-08T03:30:14.132746+00:00,22355,inactive
266.672969,,01f6e4332110504a8cd9e8741c58ab940ede24a453cd4347c0759e0894ec77b3,200,False,23,True,2025-08-31,massive,01f6e4332110504a8cd9e8741c58ab940ede24a453cd4347c0759e0894ec77b3,True,01f6e4332110504a8cd9e8741c58ab940ede24a453cd4347c0759e0894ec77b3,2026-08-08T03:34:53.044867+00:00,22355,inactive
133.534159,,9bec7a95688b4ee05787ceac417d6296b9e5028261c5a0b625d5a54cba883733,200,False,12,True,2025-09-30,massive,9bec7a95688b4ee05787ceac417d6296b9e5028261c5a0b625d5a54cba883733,,,2026-08-08T03:39:31.906365+00:00,11787,active
133.544601,,9bec7a95688b4ee05787ceac417d6296b9e5028261c5a0b625d5a54cba883733,200,False,12,True,2025-09-30,massive,9bec7a95688b4ee05787ceac417d6296b9e5028261c5a0b625d5a54cba883733,True,9bec7a95688b4ee05787ceac417d6296b9e5028261c5a0b625d5a54cba883733,2026-08-08T03:41:57.614653+00:00,11787,active
266.681144,,d74581445d4a53dcd1d498f34a0e245d6be3e7f46ebbbfe69c4ab230e9799a07,200,False,23,True,2025-09-30,massive,d74581445d4a53dcd1d498f34a0e245d6be3e7f46ebbbfe69c4ab230e9799a07,,,2026-08-08T03:44:23.362382+00:00,22461,inactive
266.665189,,d74581445d4a53dcd1d498f34a0e245d6be3e7f46ebbbfe69c4ab230e9799a07,200,False,23,True,2025-09-30,massive,d74581445d4a53dcd1d498f34a0e245d6be3e7f46ebbbfe69c4ab230e9799a07,True,d74581445d4a53dcd1d498f34a0e245d6be3e7f46ebbbfe69c4ab230e9799a07,2026-08-08T03:49:02.253212+00:00,22461,inactive
133.686294,,fb42d72e8bcfd13f61125baf86bf614b9da38092fd6c0174718eea52d639bd9f,200,False,12,True,2025-10-31,massive,fb42d72e8bcfd13f61125baf86bf614b9da38092fd6c0174718eea52d639bd9f,,,2026-08-08T03:53:41.121249+00:00,11899,active
133.666093,,fb42d72e8bcfd13f61125baf86bf614b9da38092fd6c0174718eea52d639bd9f,200,False,12,True,2025-10-31,massive,fb42d72e8bcfd13f61125baf86bf614b9da38092fd6c0174718eea52d639bd9f,True,fb42d72e8bcfd13f61125baf86bf614b9da38092fd6c0174718eea52d639bd9f,2026-08-08T03:56:06.966243+00:00,11899,active
