exclusion_marker,mapped_category,observed_count,provider_type_value
exclude,unknown,8201,ADRC
exclude,preferred_stock,180,ADRP
exclude,right,60,ADRR
exclude,warrant,0,ADRW
exclude,unknown,0,AGEN
exclude,unknown,0,BASKET
exclude,unknown,0,BOND
include,common_stock,139599,CS
exclude,unknown,0,EQLK
exclude,etf,74269,ETF
exclude,etf,3008,ETN
exclude,etf,1579,ETS
exclude,etf,1014,ETV
exclude,other,6881,FUND
exclude,unknown,0,GDR
exclude,unknown,0,LT
exclude,unknown,0,NYRS
exclude,unknown,0,OS
exclude,unknown,0,OTHER
exclude,preferred_stock,26611,PFD
exclude,right,5283,RIGHT
exclude,unknown,26022,SP
exclude,unit,16149,UNIT
exclude,warrant,26311,WARRANT
