base_probe_id,symbol,method,requested_eastern_start,requested_eastern_end,expected_eligible_sessions,expected_regular_session_bars,returned_regular_session_bars,primary_session_bars,early_close_session_bars,extended_hours_bars,regular_session_coverage_pct,missing_regular_session_bars,duplicate_bar_rate_pct,zero_volume_rate_pct,invalid_ohlc_rows,non_five_minute_intervals,timestamp_semantics_classification,date_bound_classification,threshold_result
full-SPY-convenience_every_five_minutes,SPY,convenience_every_five_minutes,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,994,77532,2192,2106,86,70,2.7163,75426,0.0,0.0,0,0,bar_start,clipped_to_recent_history,failed
full-SPY-raw_price_history_five_minutes,SPY,raw_price_history_five_minutes,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,994,77532,2192,2106,86,70,2.7163,75426,0.0,0.0,0,0,bar_start,clipped_to_recent_history,failed
window-2022-02-SPY-convenience_every_five_minutes,SPY,convenience_every_five_minutes,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,0,0,0,0,0.0,1482,0.0,0.0,0,0,undetermined,empty,failed
window-2022-02-SPY-raw_price_history_five_minutes,SPY,raw_price_history_five_minutes,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,0,0,0,0,0.0,1482,0.0,0.0,0,0,undetermined,empty,failed
window-2022-02-AAPL-convenience_every_five_minutes,AAPL,convenience_every_five_minutes,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,0,0,0,0,0.0,1482,0.0,0.0,0,0,undetermined,empty,failed
window-2022-02-AAPL-raw_price_history_five_minutes,AAPL,raw_price_history_five_minutes,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,0,0,0,0,0.0,1482,0.0,0.0,0,0,undetermined,empty,failed
window-2022-02-JPM-convenience_every_five_minutes,JPM,convenience_every_five_minutes,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,0,0,0,0,0.0,1482,0.0,0.0,0,0,undetermined,empty,failed
window-2022-02-JPM-raw_price_history_five_minutes,JPM,raw_price_history_five_minutes,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,19,1482,0,0,0,0,0.0,1482,0.0,0.0,0,0,undetermined,empty,failed
window-2023-08-SPY-convenience_every_five_minutes,SPY,convenience_every_five_minutes,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,0,0,0,0,0.0,1794,0.0,0.0,0,0,undetermined,empty,failed
window-2023-08-SPY-raw_price_history_five_minutes,SPY,raw_price_history_five_minutes,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,0,0,0,0,0.0,1794,0.0,0.0,0,0,undetermined,empty,failed
window-2023-08-AAPL-convenience_every_five_minutes,AAPL,convenience_every_five_minutes,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,0,0,0,0,0.0,1794,0.0,0.0,0,0,undetermined,empty,failed
window-2023-08-AAPL-raw_price_history_five_minutes,AAPL,raw_price_history_five_minutes,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,0,0,0,0,0.0,1794,0.0,0.0,0,0,undetermined,empty,failed
window-2023-08-JPM-convenience_every_five_minutes,JPM,convenience_every_five_minutes,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,0,0,0,0,0.0,1794,0.0,0.0,0,0,undetermined,empty,failed
window-2023-08-JPM-raw_price_history_five_minutes,JPM,raw_price_history_five_minutes,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,23,1794,0,0,0,0,0.0,1794,0.0,0.0,0,0,undetermined,empty,failed
