window,symbol,repetition,convenience_probe_id,raw_probe_id,convenience_hash,raw_hash,classification
full-SPY,SPY,1,full-SPY-convenience_every_five_minutes-rep1,full-SPY-raw_price_history_five_minutes-rep1,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,identical
full-SPY,SPY,2,full-SPY-convenience_every_five_minutes-rep2,full-SPY-raw_price_history_five_minutes-rep2,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,identical
window-2022-02-SPY,SPY,1,window-2022-02-SPY-convenience_every_five_minutes-rep1,window-2022-02-SPY-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2022-02-SPY,SPY,2,window-2022-02-SPY-convenience_every_five_minutes-rep2,window-2022-02-SPY-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2022-02-AAPL,AAPL,1,window-2022-02-AAPL-convenience_every_five_minutes-rep1,window-2022-02-AAPL-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2022-02-AAPL,AAPL,2,window-2022-02-AAPL-convenience_every_five_minutes-rep2,window-2022-02-AAPL-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2022-02-JPM,JPM,1,window-2022-02-JPM-convenience_every_five_minutes-rep1,window-2022-02-JPM-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2022-02-JPM,JPM,2,window-2022-02-JPM-convenience_every_five_minutes-rep2,window-2022-02-JPM-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2023-08-SPY,SPY,1,window-2023-08-SPY-convenience_every_five_minutes-rep1,window-2023-08-SPY-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2023-08-SPY,SPY,2,window-2023-08-SPY-convenience_every_five_minutes-rep2,window-2023-08-SPY-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2023-08-AAPL,AAPL,1,window-2023-08-AAPL-convenience_every_five_minutes-rep1,window-2023-08-AAPL-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2023-08-AAPL,AAPL,2,window-2023-08-AAPL-convenience_every_five_minutes-rep2,window-2023-08-AAPL-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2023-08-JPM,JPM,1,window-2023-08-JPM-convenience_every_five_minutes-rep1,window-2023-08-JPM-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2023-08-JPM,JPM,2,window-2023-08-JPM-convenience_every_five_minutes-rep2,window-2023-08-JPM-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2024-06-SPY,SPY,1,window-2024-06-SPY-convenience_every_five_minutes-rep1,window-2024-06-SPY-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2024-06-SPY,SPY,2,window-2024-06-SPY-convenience_every_five_minutes-rep2,window-2024-06-SPY-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2024-06-AAPL,AAPL,1,window-2024-06-AAPL-convenience_every_five_minutes-rep1,window-2024-06-AAPL-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2024-06-AAPL,AAPL,2,window-2024-06-AAPL-convenience_every_five_minutes-rep2,window-2024-06-AAPL-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2024-06-JPM,JPM,1,window-2024-06-JPM-convenience_every_five_minutes-rep1,window-2024-06-JPM-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
window-2024-06-JPM,JPM,2,window-2024-06-JPM-convenience_every_five_minutes-rep2,window-2024-06-JPM-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
