base_probe_id,symbol,method,date_range,repeat_hash_match,rep1_http_status,rep2_http_status,rep1_candle_count,rep2_candle_count,rep1_hash,rep2_hash,rep1_threshold,rep2_threshold
full-SPY-convenience_every_five_minutes,SPY,convenience_every_five_minutes,2022-01-03T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,2262,2262,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,failed,failed
full-SPY-raw_price_history_five_minutes,SPY,raw_price_history_five_minutes,2022-01-03T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,2262,2262,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,failed,failed
window-2022-02-SPY-convenience_every_five_minutes,SPY,convenience_every_five_minutes,2022-02-01T00:00:00.000000-0500 to 2022-02-28T23:59:59.999999-0500,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2022-02-SPY-raw_price_history_five_minutes,SPY,raw_price_history_five_minutes,2022-02-01T00:00:00.000000-0500 to 2022-02-28T23:59:59.999999-0500,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2022-02-AAPL-convenience_every_five_minutes,AAPL,convenience_every_five_minutes,2022-02-01T00:00:00.000000-0500 to 2022-02-28T23:59:59.999999-0500,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2022-02-AAPL-raw_price_history_five_minutes,AAPL,raw_price_history_five_minutes,2022-02-01T00:00:00.000000-0500 to 2022-02-28T23:59:59.999999-0500,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2022-02-JPM-convenience_every_five_minutes,JPM,convenience_every_five_minutes,2022-02-01T00:00:00.000000-0500 to 2022-02-28T23:59:59.999999-0500,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2022-02-JPM-raw_price_history_five_minutes,JPM,raw_price_history_five_minutes,2022-02-01T00:00:00.000000-0500 to 2022-02-28T23:59:59.999999-0500,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2023-08-SPY-convenience_every_five_minutes,SPY,convenience_every_five_minutes,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2023-08-SPY-raw_price_history_five_minutes,SPY,raw_price_history_five_minutes,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2023-08-AAPL-convenience_every_five_minutes,AAPL,convenience_every_five_minutes,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2023-08-AAPL-raw_price_history_five_minutes,AAPL,raw_price_history_five_minutes,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2023-08-JPM-convenience_every_five_minutes,JPM,convenience_every_five_minutes,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2023-08-JPM-raw_price_history_five_minutes,JPM,raw_price_history_five_minutes,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2024-06-SPY-convenience_every_five_minutes,SPY,convenience_every_five_minutes,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2024-06-SPY-raw_price_history_five_minutes,SPY,raw_price_history_five_minutes,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2024-06-AAPL-convenience_every_five_minutes,AAPL,convenience_every_five_minutes,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2024-06-AAPL-raw_price_history_five_minutes,AAPL,raw_price_history_five_minutes,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2024-06-JPM-convenience_every_five_minutes,JPM,convenience_every_five_minutes,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2024-06-JPM-raw_price_history_five_minutes,JPM,raw_price_history_five_minutes,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,failed
window-2025-12-SPY-convenience_every_five_minutes,SPY,convenience_every_five_minutes,2025-12-01T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,1716,1716,27d1b7b09d5a89db8bbd6b42ee5b313f12e3fb2842adbc391011094e4cab0f1e,27d1b7b09d5a89db8bbd6b42ee5b313f12e3fb2842adbc391011094e4cab0f1e,passed,passed
window-2025-12-SPY-raw_price_history_five_minutes,SPY,raw_price_history_five_minutes,2025-12-01T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,1716,1716,27d1b7b09d5a89db8bbd6b42ee5b313f12e3fb2842adbc391011094e4cab0f1e,27d1b7b09d5a89db8bbd6b42ee5b313f12e3fb2842adbc391011094e4cab0f1e,passed,passed
window-2025-12-AAPL-convenience_every_five_minutes,AAPL,convenience_every_five_minutes,2025-12-01T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,1712,1712,2338711e8261d551a0282f8359b3113d23d3623ea3bb9703e5df6a756bc8f6f8,2338711e8261d551a0282f8359b3113d23d3623ea3bb9703e5df6a756bc8f6f8,failed,failed
