probe_id,symbol,method,repetition,requested_eastern_start,requested_eastern_end,requested_utc_start,requested_utc_end,http_status,safe_error_classification,raw_candle_count,normalized_candle_count,raw_earliest_timestamp,raw_latest_timestamp,requested_range_earliest,requested_range_latest,out_of_range_candles,unique_regular_sessions,expected_eligible_sessions,expected_regular_session_bars,returned_regular_session_bars,primary_session_bars,early_close_session_bars,extended_hours_bars,regular_session_coverage_pct,missing_regular_session_bars,duplicate_timestamps,duplicate_bar_rate_pct,zero_volume_bars,zero_volume_rate_pct,invalid_ohlc_rows,non_five_minute_intervals,candle_payload_sha256,requested_range_normalized_sha256,date_bound_classification,timestamp_semantics_classification,threshold_result,retry_after_seconds,notes
full-SPY-convenience_every_five_minutes-rep1,SPY,convenience_every_five_minutes,1,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2022-01-03T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,2262,2262,2025-11-19T14:30:00.000000+0000,2025-12-31T20:55:00.000000+0000,2025-11-19T14:30:00.000000+0000,2025-12-31T20:55:00.000000+0000,0,27,994,77532,2106,2106,84,72,2.716297786720322,75426,0,0.0,0,0.0,0,0,4f41780e13e06617096988d1e142e9e4a4b4281c2a69a0cf76c1c7abdba23415,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,clipped_to_recent_history,bar_start,failed,,
full-SPY-convenience_every_five_minutes-rep2,SPY,convenience_every_five_minutes,2,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2022-01-03T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,2262,2262,2025-11-19T14:30:00.000000+0000,2025-12-31T20:55:00.000000+0000,2025-11-19T14:30:00.000000+0000,2025-12-31T20:55:00.000000+0000,0,27,994,77532,2106,2106,84,72,2.716297786720322,75426,0,0.0,0,0.0,0,0,4f41780e13e06617096988d1e142e9e4a4b4281c2a69a0cf76c1c7abdba23415,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,clipped_to_recent_history,bar_start,failed,,
full-SPY-raw_price_history_five_minutes-rep1,SPY,raw_price_history_five_minutes,1,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2022-01-03T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,2262,2262,2025-11-19T14:30:00.000000+0000,2025-12-31T20:55:00.000000+0000,2025-11-19T14:30:00.000000+0000,2025-12-31T20:55:00.000000+0000,0,27,994,77532,2106,2106,84,72,2.716297786720322,75426,0,0.0,0,0.0,0,0,4f41780e13e06617096988d1e142e9e4a4b4281c2a69a0cf76c1c7abdba23415,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,clipped_to_recent_history,bar_start,failed,,
full-SPY-raw_price_history_five_minutes-rep2,SPY,raw_price_history_five_minutes,2,2022-01-03T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2022-01-03T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,2262,2262,2025-11-19T14:30:00.000000+0000,2025-12-31T20:55:00.000000+0000,2025-11-19T14:30:00.000000+0000,2025-12-31T20:55:00.000000+0000,0,27,994,77532,2106,2106,84,72,2.716297786720322,75426,0,0.0,0,0.0,0,0,4f41780e13e06617096988d1e142e9e4a4b4281c2a69a0cf76c1c7abdba23415,6124ab869547181cbbfc1ba44d8579a84865e5a4304900f0477b0499ee44f38d,clipped_to_recent_history,bar_start,failed,,
window-2022-02-SPY-convenience_every_five_minutes-rep1,SPY,convenience_every_five_minutes,1,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,0,0,,,,,0,0,19,1482,0,0,0,0,0.0,1482,0,0.0,0,0.0,0,0,cf6083798411369dbd4e61a4b2aef8289b9bfccd4443e861a5a87b91fbabb0d0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty,undetermined,failed,,
window-2022-02-SPY-convenience_every_five_minutes-rep2,SPY,convenience_every_five_minutes,2,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,0,0,,,,,0,0,19,1482,0,0,0,0,0.0,1482,0,0.0,0,0.0,0,0,cf6083798411369dbd4e61a4b2aef8289b9bfccd4443e861a5a87b91fbabb0d0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty,undetermined,failed,,
window-2022-02-SPY-raw_price_history_five_minutes-rep1,SPY,raw_price_history_five_minutes,1,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,0,0,,,,,0,0,19,1482,0,0,0,0,0.0,1482,0,0.0,0,0.0,0,0,cf6083798411369dbd4e61a4b2aef8289b9bfccd4443e861a5a87b91fbabb0d0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty,undetermined,failed,,
window-2022-02-SPY-raw_price_history_five_minutes-rep2,SPY,raw_price_history_five_minutes,2,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,0,0,,,,,0,0,19,1482,0,0,0,0,0.0,1482,0,0.0,0,0.0,0,0,cf6083798411369dbd4e61a4b2aef8289b9bfccd4443e861a5a87b91fbabb0d0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty,undetermined,failed,,
window-2022-02-AAPL-convenience_every_five_minutes-rep1,AAPL,convenience_every_five_minutes,1,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,0,0,,,,,0,0,19,1482,0,0,0,0,0.0,1482,0,0.0,0,0.0,0,0,26b88a82b0955db78222a76cd244a7987c4282887e497658ef0cc7c58173f85a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty,undetermined,failed,,
window-2022-02-AAPL-convenience_every_five_minutes-rep2,AAPL,convenience_every_five_minutes,2,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,0,0,,,,,0,0,19,1482,0,0,0,0,0.0,1482,0,0.0,0,0.0,0,0,26b88a82b0955db78222a76cd244a7987c4282887e497658ef0cc7c58173f85a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty,undetermined,failed,,
