strategy,total_signals,executed_trades,rejected_signals,no_signal_count,total_trades,pooled_expectancy,pooled_total_return,overall_maximum_drawdown_pct,median_per_symbol_expectancy,equal_weighted_per_symbol_mean_expectancy,positive_symbol_rate,median_per_symbol_total_return,median_per_symbol_maximum_drawdown_pct,median_per_symbol_profit_factor_order,median_per_symbol_profit_factor_value,trade_count_concentration,net_profit_concentration,absolute_loss_concentration,stock_stratum_trade_count,etf_stratum_trade_count,stock_stratum_pooled_expectancy,etf_stratum_pooled_expectancy,represented_stock_symbols,represented_etf_symbols,rejection_counts,exit_counts,positive_trade_rate,average_holding_minutes,cost_scenario_name,month
candidate,7373,0,0,7373,0,0.0,0,0.0,,,,,,,,0.0,,,0,0,0.0,0.0,0,0,{},{},,,,unknown
candidate,40,40,0,0,40,-0.33665741193965937,-13.466296477586374,-16.39278632917174,-1.0551108297434995,-0.28711277673617935,0.3448275862068966,-1.095001289838114,-1.095001289838109,0.0,0.0,0.075,,0.12451923163794054,37,3,-0.27416887098237547,-1.1073494170794935,26,3,{},"{'stop': 27, 'target': 12, 'time': 1}",0.325,37.25,,2025-01
candidate,21,21,0,0,21,0.17483323258737696,3.671497884334916,-3.9735116780538124,0.16073974532030977,0.1805006467772087,0.6,0.32147949064061954,-1.0521331303568509,1.2910806170623108,1.2910806170623108,0.14285714285714285,0.44495203673638617,,21,0,0.17483323258737696,0.0,15,0,{},"{'target': 10, 'stop': 10, 'time': 1}",0.5238095238095238,48.095238095238095,,2025-02
candidate,34,34,0,0,34,-0.44664256023500803,-15.185847047990274,-17.75509201223079,-1.0361638366730408,-0.5255749241605729,0.25,-1.0439227455432802,-1.0593939882465193,0.0,0.0,0.08823529411764706,,0.12962126691134876,30,4,-0.35580422442247506,-1.1279300788290056,21,3,{},"{'stop': 25, 'time': 1, 'target': 8}",0.2647058823529412,39.705882352941174,,2025-03
candidate,90,90,0,0,90,-0.3316112217064156,-29.845009953577406,-35.272663719952554,-0.41223613016209515,-0.1196010393698279,0.37254901960784315,-1.01474072617591,-1.0993757711188266,0.19812393824795632,0.19812393824795632,0.05555555555555555,,0.08114152193219158,67,23,-0.17625037024786883,-0.7841841368247912,40,11,{},"{'stop': 61, 'target': 25, 'time': 4}",0.3111111111111111,42.72222222222222,,2025-04
candidate,23,23,0,0,23,-0.3604711374695033,-8.290836161798577,-8.688174805296702,-1.0785965228043985,-0.35092065857998056,0.3333333333333333,-1.0793137331698552,-1.110021049202146,0.0,0.0,0.08695652173913043,,0.12435616440975732,22,1,-0.32608715497304624,-1.1169187523915587,20,1,{},"{'stop': 16, 'target': 7}",0.30434782608695654,44.34782608695652,,2025-05
candidate,24,24,0,0,24,-0.44365699644939854,-10.647767914785565,-10.647767914785561,-1.0676996105438366,-0.44990715160075506,0.3333333333333333,-1.0866721163297437,-1.101956780490596,0.0,0.0,0.125,,0.1438781001224155,23,1,-0.41417907742532356,-1.1216491340031234,17,1,{},"{'stop': 17, 'target': 6, 'time': 1}",0.2916666666666667,33.958333333333336,,2025-06
baseline_a,1011,1011,0,0,1011,-0.46196492087324337,-467.04653500284905,-467.04653500284917,-0.4797766293135334,-0.45709498127403114,0.016129032258064516,-7.763898959941374,-8.234794551297952,0.44394952260415177,0.44394952260415177,0.019782393669634024,,0.03370549232473268,788,223,-0.4250551420895498,-0.592390506889165,49,13,{},"{'stop': 694, 'target': 289, 'time': 25, 'gap_stop': 2, 'gap_target': 1}",0.3026706231454006,36.68150346191889,,2025-01
baseline_a,1822,0,15,1807,0,0.0,0,0.0,,,,,,,,0.0,,,0,0,0.0,0.0,0,0,{'rejected_entry_at_or_below_stop': 15},{},,,,unknown
baseline_a,924,924,0,0,924,-0.3832447297765997,-354.1181303135781,-287.01206795478276,-0.3877798284330941,-0.3770199942844953,0.08064516129032258,-5.8542206255259295,-7.868415658786306,0.505596570151138,0.505596570151138,0.020562770562770564,,0.04403077905911449,730,194,-0.3485780470576571,-0.5136915255746826,49,13,{},"{'stop': 595, 'target': 276, 'gap_stop': 5, 'time': 45, 'gap_target': 3}",0.3333333333333333,46.455627705627705,,2025-02
baseline_a,1046,1046,0,0,1046,-0.5613372874678273,-587.1588026913473,-614.9556546767501,-0.5884401838619591,-0.5605216196626838,0.0,-9.838689354500502,-11.167176034972272,0.3499461711056123,0.3499461711056123,0.019120458891013385,,0.03243582158359188,829,217,-0.5236375289816455,-0.7053607887813973,49,13,{},"{'stop': 766, 'target': 258, 'time': 14, 'gap_target': 2, 'gap_stop': 6}",0.25621414913957935,32.92543021032505,,2025-03
baseline_a,1014,1014,0,0,1014,-0.3057494224572027,-310.0299143716035,-251.4673531012479,-0.33108474582063746,-0.3015831302601411,0.12903225806451613,-5.5028792697876305,-7.86698669472624,0.5779768537809942,0.5779768537809942,0.01972386587771203,,0.04067503343667196,798,216,-0.27631983482432737,-0.4144753989897697,49,13,{},"{'target': 341, 'stop': 642, 'time': 26, 'gap_stop': 5}",0.34911242603550297,30.52268244575937,,2025-04
baseline_a,808,808,0,0,808,-0.38294260562006593,-309.41762534101326,-269.16100815646934,-0.3453988780436942,-0.3743900900490738,0.12698412698412698,-4.585641187185878,-6.668501032623315,0.5727941430565601,0.5727941430565601,0.02103960396039604,,0.04091546736220966,649,159,-0.3828605628595986,-0.38327748456058996,50,13,{},"{'target': 260, 'stop': 523, 'time': 20, 'gap_target': 2, 'gap_stop': 3}",0.3378712871287129,38.64480198019802,,2025-05
baseline_a,980,980,0,0,980,-0.3843270045412639,-376.6404644504386,-378.06536595998824,-0.3802436802137415,-0.38817440696667044,0.07936507936507936,-6.115196521648122,-7.9342193173724676,0.5235519860601455,0.5235519860601455,0.019387755102040816,,0.04761853599432013,772,208,-0.34652193908242823,-0.5246419590327116,50,13,{},"{'stop': 641, 'target': 314, 'time': 20, 'gap_stop': 3, 'gap_target': 2}",0.336734693877551,40.75,,2025-06
baseline_b,4227,0,0,4227,0,0.0,0,0.0,,,,,,,,0.0,,,0,0,0.0,0.0,0,0,{},{},,,,unknown
baseline_b,560,560,0,0,560,-0.268280167150425,-150.23689360423802,-152.21556127951743,-0.24259126149563331,-0.253097299792129,0.3064516129032258,-2.2015030029967484,-3.8729560979476574,0.6549578777581696,0.6549578777581696,0.02857142857142857,,0.08274886545536508,438,122,-0.24282103621020432,-0.35968262085384045,49,13,{},"{'stop': 347, 'target': 178, 'time': 29, 'gap_target': 1, 'gap_stop': 5}",0.35714285714285715,62.892857142857146,,2025-01
baseline_b,473,473,0,0,473,-0.1285751348449428,-60.816038781657944,-75.81456531486258,-0.20071866252019158,-0.10769709624914556,0.41935483870967744,-1.569962571503317,-3.554541843197094,0.7200852811212888,0.7200852811212888,0.03171247357293869,,0.0627304807723597,370,103,-0.13958393876023095,-0.08902894602303393,49,13,{},"{'target': 163, 'stop': 262, 'time': 48}",0.42071881606765327,81.57505285412262,,2025-02
baseline_b,557,557,0,0,557,-0.3685281116837194,-205.2701582078317,-216.55726594407056,-0.4188498839732029,-0.3711805213650031,0.22580645161290322,-3.7420394814181606,-4.9011701170667745,0.4761221205937487,0.4761221205937487,0.02872531418312388,,0.04942236643324728,434,123,-0.3869995081667312,-0.3033526151501658,49,13,{},"{'stop': 379, 'target': 149, 'time': 26, 'gap_target': 3}",0.3052064631956912,62.998204667863554,,2025-03
baseline_b,631,631,0,0,631,-0.25336411179131907,-159.87275454032232,-155.94370285923574,-0.2695395906986806,-0.26584392068916807,0.20967741935483872,-2.82124676111428,-5.254337451469,0.6172053606074398,0.6172053606074398,0.02377179080824089,,0.0442843023485357,506,125,-0.2066367544043877,-0.4425164544936171,49,13,{},"{'time': 30, 'stop': 401, 'target': 198, 'gap_target': 1, 'gap_stop': 1}",0.3438985736925515,54.199683042789225,,2025-04
baseline_b,608,608,0,0,608,-0.18525224056432835,-112.63336226311164,-107.88825786651047,-0.18310440981438994,-0.1815142380479718,0.31746031746031744,-1.8463973451881635,-4.1731877389412615,0.7419321533502208,0.7419321533502208,0.027960526315789474,,0.0725516317561326,471,137,-0.1999595604958696,-0.13468911875589087,50,13,{},"{'target': 217, 'stop': 353, 'time': 35, 'gap_target': 1, 'gap_stop': 2}",0.3963815789473684,71.38157894736842,,2025-05
baseline_b,549,549,0,0,549,-0.24940088571798447,-136.92108625917348,-131.07019746650096,-0.25809392364564904,-0.22111385319203417,0.23809523809523808,-1.9195477057530907,-4.462904287236105,0.6515075766052251,0.6515075766052251,0.025500910746812388,,0.05592998551161967,424,125,-0.19741272706839558,-0.42574471985739004,50,13,{},"{'stop': 332, 'target': 184, 'time': 29, 'gap_target': 1, 'gap_stop': 3}",0.37158469945355194,71.16575591985428,,2025-06
