ticker,is_etf,candidate_trade_count,candidate_total_return,candidate_mean_expectancy,candidate_maximum_drawdown_pct,baseline_a_trade_count,baseline_a_mean_expectancy,baseline_b_trade_count,baseline_b_mean_expectancy,candidate_beat_a,candidate_beat_b
NVDA,False,3,1.679731158110399,0.5599103860367997,-1.0868439729633796,85,-0.3162367205337686,56,-0.09236753570188268,True,True
AMAT,False,1,-1.1985704024350048,-1.1985704024350048,-1.19857040243501,30,-0.48539147452414755,16,0.2791667265791343,False,False
QCOM,False,1,1.268882176320269,1.268882176320269,0.0,75,-0.37133071028001013,41,-0.3866328132051325,True,True
TMO,False,3,-0.8727705274329751,-0.290923509144325,-2.300233237383665,43,-0.3805842827185278,24,-0.2968417245756648,True,True
MU,False,6,-3.9467838705251834,-0.6577973117541972,-4.320233850388293,91,-0.3166871749691825,49,-0.023394608101198398,False,False
WMT,False,4,0.4351963846793201,0.10879909616983002,-1.1506614967434672,95,-0.5178148499921996,44,-0.03207633798128136,True,True
JNJ,False,5,1.85897263123707,0.371794526247414,-2.2099067434009845,99,-0.5297096787721995,55,-0.1883312399742867,True,True
JPM,False,7,-7.849408228345752,-1.1213440326208217,-7.849408228345751,92,-0.3962722582073733,65,-0.3797949525760204,False,False
RGTI,False,1,-1.0101806030775786,-1.0101806030775786,-1.010180603077572,30,-0.4841343371877254,15,0.19528236791960976,False,False
COIN,False,7,-2.3802756539529804,-0.3400393791361401,-3.165332489230508,91,-0.20480027135367646,59,-0.5775956723262836,False,True
MSTR,False,5,-0.1786392709936564,-0.03572785419873128,-2.0239562762965964,85,-0.44691047084539054,60,-0.22530093943283014,True,True
SMCI,False,7,0.157028431325533,0.022432633046504717,-3.0619093113145954,75,-0.15956785448885752,51,-0.16794052176207971,True,True
AAPL,False,8,-3.733605952047976,-0.466700744005997,-3.7336059520479807,101,-0.47904010260647223,58,-0.19677672716539774,True,False
ORCL,False,6,-2.860592495644067,-0.47676541594067784,-4.2325686345069755,100,-0.33295561206097923,44,-0.3009052346893334,False,False
BA,False,9,-0.0065297765294625165,-0.0007255307254958351,-3.1577751647307375,85,-0.4440285904253331,55,-0.02841497068180209,True,True
MSFT,False,4,0.5572970372954309,0.13932425932385772,-1.1389176993064347,90,-0.4344582955438033,61,-0.2575462738045305,True,True
APP,False,6,-1.2079419179287685,-0.20132365298812807,-2.0352422275205058,84,-0.3145920653226224,56,0.05970667067605011,True,False
GOOG,False,3,-0.7385094338920706,-0.24616981129735685,-2.0928248617118737,90,-0.4017585595846621,54,-0.6023449874220719,True,True
GOOGL,False,4,0.6169140717359489,0.15422851793398723,-2.0929835377315777,90,-0.5244828904547472,57,-0.4426832955113535,True,True
QQQ,True,3,-3.231010171151632,-1.0770033903838774,-3.231010171151638,83,-0.5532071048115058,59,-0.3722820864680531,False,False
IWM,True,4,-4.288169687524397,-1.0720424218810993,-4.288169687524402,85,-0.5066065246589311,60,-0.01900505967773202,False,False
XLK,True,3,-2.1141286946254896,-0.7047095648751632,-2.1141286946254922,97,-0.5516912371245338,59,-0.36929836610267563,False,False
HD,False,2,2.7711490753185988,1.3855745376592994,0.0,67,-0.4493973210426905,31,-0.10742371263666493,True,True
CRM,False,3,-0.9045144748667466,-0.30150482495558223,-2.2764537704911163,98,-0.30086847450030846,45,-0.17515597319855974,False,False
COST,False,5,-0.7679352264445691,-0.15358704528891381,-2.2235384389978092,88,-0.4407249157794229,54,-0.2220928702290134,True,True
MA,False,3,-0.9321994169289138,-0.3107331389763046,-2.228171566877151,89,-0.6417248506970501,62,-0.3427151627790277,True,True
META,False,8,-1.9086624827066088,-0.2385828103383261,-2.2074087199541026,96,-0.4315502549234011,50,-0.35611968190878807,True,True
V,False,5,-0.7389169721211759,-0.1477833944242352,-3.368367424400618,98,-0.4886550732742379,63,-0.4465019232051566,True,True
CRWD,False,5,-0.3586294763232092,-0.07172589526464183,-2.094027411772427,82,-0.15667645412827355,52,-0.10770953362121066,True,True
GEV,False,2,0.32147949064061954,0.16073974532030977,-1.1044345511051432,64,-0.194385526379554,44,-0.020661327254964702,True,True
