ticker,session_date,strategy,signal_time,signal_bar_start,entry_time,entry_bar_start,entry_open,entry_fill,stop_price,target_price,risk_per_share,exit_time,exit_bar_start,raw_exit_price,exit_fill,profit,net_r,exit_type,holding_minutes,opening_gap_pct,fallback_reason,same_bar_ambiguity,entry_bar_index,exit_bar_index,status,rejection_reason
AAPL,2025-01-22,candidate,2025-01-22T15:55:00+00:00,2025-01-22T15:50:00+00:00,2025-01-22T15:55:00+00:00,2025-01-22T15:55:00+00:00,222.58,222.69129,222.08871499999998,223.59515250000004,0.6025750000000301,2025-01-22T16:45:00+00:00,2025-01-22T16:40:00+00:00,222.08871499999998,221.9776706425,-0.713619357500022,-1.1842830477533692,stop,50.0,-0.12247424327130417,,False,17,26,executed,
AMAT,2025-01-06,candidate,2025-01-06T15:50:00+00:00,2025-01-06T15:45:00+00:00,2025-01-06T15:50:00+00:00,2025-01-06T15:50:00+00:00,178.46,178.54923,178.1007725,179.22191625,0.4484574999999893,2025-01-06T16:00:00+00:00,2025-01-06T15:55:00+00:00,178.1007725,178.01172211375,-0.5375078862499834,-1.1985704024350048,stop,10.0,0.07590850396605792,,False,16,17,executed,
APP,2025-01-27,candidate,2025-01-27T15:25:00+00:00,2025-01-27T15:20:00+00:00,2025-01-27T15:25:00+00:00,2025-01-27T15:25:00+00:00,344.29,344.462145,338.82768,352.9138425000001,5.634465000000034,2025-01-27T16:20:00+00:00,2025-01-27T16:15:00+00:00,338.82768,338.65826616,-5.8038788400000385,-1.0300674225503226,stop,55.0,0.05555383997776614,,False,11,21,executed,
BA,2025-01-24,candidate,2025-01-24T15:30:00+00:00,2025-01-24T15:25:00+00:00,2025-01-24T15:30:00+00:00,2025-01-24T15:30:00+00:00,178.7797,178.86908985,178.35065,179.64674962499998,0.5184398499999929,2025-01-24T15:35:00+00:00,2025-01-24T15:30:00+00:00,178.35065,178.26147467500002,-0.6076151749999781,-1.172007080474208,stop,5.0,-0.005649717514124294,,False,12,12,executed,
COIN,2025-01-15,candidate,2025-01-15T16:15:00+00:00,2025-01-15T16:10:00+00:00,2025-01-15T16:15:00+00:00,2025-01-15T16:15:00+00:00,272.085,272.22104249999995,270.383945,274.9766887499999,1.8370974999999703,2025-01-15T16:20:00+00:00,2025-01-15T16:15:00+00:00,270.383945,270.2487530275,-1.9722894724999378,-1.0735899822954251,stop,5.0,0.07478856222311717,,False,21,21,executed,
COIN,2025-01-17,candidate,2025-01-17T15:55:00+00:00,2025-01-17T15:50:00+00:00,2025-01-17T15:55:00+00:00,2025-01-17T15:55:00+00:00,297.74,297.88887,294.58117500000003,302.85041249999995,3.307694999999967,2025-01-17T16:10:00+00:00,2025-01-17T16:05:00+00:00,294.58117500000003,294.43388441250005,-3.454985587499948,-1.0445296762549094,stop,15.0,0.17599677809101888,,False,17,19,executed,
COIN,2025-01-27,candidate,2025-01-27T15:25:00+00:00,2025-01-27T15:20:00+00:00,2025-01-27T15:25:00+00:00,2025-01-27T15:25:00+00:00,283.95,284.091975,281.1148725,288.55762875,2.977102500000001,2025-01-27T16:10:00+00:00,2025-01-27T16:05:00+00:00,281.1148725,280.97431506375,-3.117659936249993,-1.0472128306801636,stop,45.0,0.14297221103503827,,False,11,19,executed,
COST,2025-01-30,candidate,2025-01-30T15:20:00+00:00,2025-01-30T15:15:00+00:00,2025-01-30T15:20:00+00:00,2025-01-30T15:20:00+00:00,982.32,982.81116,980.5721725,986.16964125,2.2389875000000075,2025-01-30T15:25:00+00:00,2025-01-30T15:20:00+00:00,980.5721725,980.08188641375,-2.729273586249974,-1.2189766964978432,stop,5.0,0.058967334955853594,,False,10,10,executed,
CRM,2025-01-30,candidate,2025-01-30T15:15:00+00:00,2025-01-30T15:10:00+00:00,2025-01-30T15:15:00+00:00,2025-01-30T15:15:00+00:00,344.49,344.662245,342.857755,347.36897999999997,1.804489999999987,2025-01-30T15:20:00+00:00,2025-01-30T15:15:00+00:00,342.857755,342.6863261225,-1.9759188774999643,-1.095001289838114,stop,5.0,0.019651242784075595,,False,9,9,executed,
CRWD,2025-01-31,candidate,2025-01-31T15:35:00+00:00,2025-01-31T15:30:00+00:00,2025-01-31T15:35:00+00:00,2025-01-31T15:35:00+00:00,404.44,404.64221999999995,402.49780499999997,407.8588424999999,2.144414999999981,2025-01-31T16:30:00+00:00,2025-01-31T16:25:00+00:00,407.8588424999999,407.6549130787499,3.012693078749976,1.4049020729429718,target,55.0,0.16524433013794704,,False,13,23,executed,
