strategy,total_signals,executed_trades,rejected_signals,no_signal_count,total_trades,pooled_expectancy,pooled_total_return,overall_maximum_drawdown_pct,median_per_symbol_expectancy,equal_weighted_per_symbol_mean_expectancy,positive_symbol_rate,median_per_symbol_total_return,median_per_symbol_maximum_drawdown_pct,median_per_symbol_profit_factor_order,median_per_symbol_profit_factor_value,trade_count_concentration,net_profit_concentration,absolute_loss_concentration,stock_stratum_trade_count,etf_stratum_trade_count,stock_stratum_pooled_expectancy,etf_stratum_pooled_expectancy,represented_stock_symbols,represented_etf_symbols,rejection_counts,exit_counts,positive_trade_rate,average_holding_minutes,cost_scenario_name,entry_slippage_bps,exit_slippage_bps,entry_commission_bps,exit_commission_bps,month,baseline
baseline_a,7605,5783,15,1807,5783,-0.4157723451791163,-2404.4114721708297,-2405.8363736803776,-0.40985907079515577,-0.3967495783463304,0.011494252873563218,-27.166542895679047,-29.499584026516473,0.5039370124023173,0.5039370124023173,0.01815666609026457,,0.027898169302648657,4566,1217,-0.3854567692294714,-0.5295118026861656,74,13,{'rejected_entry_at_or_below_stop': 15},"{'stop': 3861, 'target': 1738, 'time': 150, 'gap_stop': 24, 'gap_target': 10}",0.31800103752377656,37.44769150959709,primary_5bps,5.0,5.0,0.0,0.0,,baseline_a
baseline_a,7605,5783,15,1807,5783,-0.04833529754068714,-279.5230256777937,-375.42713178224324,-0.0427917336856317,-0.04778032974097115,0.3448275862068966,-1.597397184564847,-9.999999999999943,0.9296992946593193,0.9296992946593193,0.01815666609026457,,0.09111692483635667,4566,1217,-0.053716065186658085,-0.02814747085909031,74,13,{'rejected_entry_at_or_below_stop': 15},"{'stop': 3508, 'target': 2134, 'time': 103, 'gap_stop': 22, 'gap_target': 16}",0.38371087670759124,29.201106692028358,slippage_0bps,0.0,0.0,0.0,0.0,,baseline_a
baseline_a,7605,5783,15,1807,5783,-0.2567389852884682,-1484.7215519232118,-1486.7934799397894,-0.24249866445848697,-0.24597723616313605,0.034482758620689655,-13.610543498819498,-19.305648599314086,0.6617892089455066,0.6617892089455066,0.01815666609026457,,0.033086979819632455,4566,1217,-0.24407179316989813,-0.3042643749461436,74,13,{'rejected_entry_at_or_below_stop': 15},"{'stop': 3704, 'target': 1927, 'time': 119, 'gap_stop': 24, 'gap_target': 9}",0.347224623897631,33.10306069514093,slippage_2.5bps,2.5,2.5,0.0,0.0,,baseline_a
baseline_a,7605,5783,15,1807,5783,-0.4157723451791163,-2404.4114721708297,-2405.8363736803776,-0.40985907079515577,-0.3967495783463304,0.011494252873563218,-27.166542895679047,-29.499584026516473,0.5039370124023173,0.5039370124023173,0.01815666609026457,,0.027898169302648657,4566,1217,-0.3854567692294714,-0.5295118026861656,74,13,{'rejected_entry_at_or_below_stop': 15},"{'stop': 3861, 'target': 1738, 'time': 150, 'gap_stop': 24, 'gap_target': 10}",0.31800103752377656,37.44769150959709,slippage_5bps,5.0,5.0,0.0,0.0,,baseline_a
baseline_a,7605,5783,15,1807,5783,-0.6402849143667108,-3702.7676597826885,-3702.7676597826944,-0.6296578649279947,-0.604790895561729,0.011494252873563218,-45.04961524971949,-45.74049904461181,0.3355700299673731,0.3355700299673731,0.01815666609026457,,0.023997142156734926,4566,1217,-0.5945631150454983,-0.8118261926745632,74,13,{'rejected_entry_at_or_below_stop': 15},"{'stop': 4075, 'target': 1461, 'time': 212, 'gap_target': 10, 'gap_stop': 25}",0.2749438007954349,45.001729206294314,slippage_10bps,10.0,10.0,0.0,0.0,,baseline_a
baseline_b,7605,3378,0,4227,3378,-0.24444946526238456,-825.7502936563351,-828.6187820457176,-0.22530093943283014,-0.21369939442725996,0.13793103448275862,-8.510917439460506,-11.664483969042848,0.6764325280700028,0.6764325280700028,0.019834221432800475,,0.0394529001640879,2643,735,-0.23019356971051486,-0.2957125019203325,74,13,{},"{'stop': 2074, 'target': 1089, 'time': 197, 'gap_target': 7, 'gap_stop': 11}",0.36441681468324455,66.77471876850207,primary_5bps,5.0,5.0,0.0,0.0,,baseline_b
baseline_b,7605,3378,0,4227,3378,0.016983305386263223,57.36960559479717,-89.10482524794818,0.03803501197672231,0.03457842553122203,0.5632183908045977,1.8695635456834387,-6.303984843971763,1.0659273540929854,1.0659273540929854,0.019834221432800475,0.29749070412131845,,2643,735,0.009701343182755787,0.04316864702418181,74,13,{},"{'stop': 1928, 'target': 1293, 'time': 141, 'gap_stop': 11, 'gap_target': 5}",0.41592658377738306,54.791296625222024,slippage_0bps,0.0,0.0,0.0,0.0,,baseline_b
baseline_b,7605,3378,0,4227,3378,-0.12872967637820426,-434.848846805574,-437.9998699652068,-0.11376889226276199,-0.10271089833905453,0.27586206896551724,-4.632871880499412,-9.745880958227207,0.8249136272544457,0.8249136272544457,0.019834221432800475,,0.0535165906974209,2643,735,-0.12480935149161655,-0.1428268446438524,74,13,{},"{'stop': 2016, 'target': 1176, 'gap_target': 13, 'time': 162, 'gap_stop': 11}",0.38632326820603907,60.74748371817643,slippage_2.5bps,2.5,2.5,0.0,0.0,,baseline_b
baseline_b,7605,3378,0,4227,3378,-0.24444946526238456,-825.7502936563351,-828.6187820457176,-0.22530093943283014,-0.21369939442725996,0.13793103448275862,-8.510917439460506,-11.664483969042848,0.6764325280700028,0.6764325280700028,0.019834221432800475,,0.0394529001640879,2643,735,-0.23019356971051486,-0.2957125019203325,74,13,{},"{'stop': 2074, 'target': 1089, 'time': 197, 'gap_target': 7, 'gap_stop': 11}",0.36441681468324455,66.77471876850207,slippage_5bps,5.0,5.0,0.0,0.0,,baseline_b
baseline_b,7605,3378,0,4227,3378,-0.4424168569507937,-1494.484142779781,-1496.738279466703,-0.46041505507952113,-0.3995666038653958,0.10344827586206896,-17.09729334534137,-18.79145507469916,0.4265559417115478,0.4265559417115478,0.019834221432800475,,0.029090479943803028,2643,735,-0.4139701940320826,-0.544708734629914,74,13,{},"{'stop': 2171, 'target': 913, 'time': 274, 'gap_target': 5, 'gap_stop': 15}",0.3206039076376554,78.70633510953226,slippage_10bps,10.0,10.0,0.0,0.0,,baseline_b
