ticker,data_source,sha256,manifest_rows,validated_rows,data_start,data_end,duplicate_timestamps,missing_required_values,invalid_ohlc_rows,split_event_counts,complete_outcomes,warnings
AAPL,yahoo,ec08dd47158b6ab22ed24765851cfe3667dcb2a08bf3c938d18711d2fd634c20,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
MSFT,yahoo,76f58856bb1410a0e27eb6381be713b92d678751d7186d30f6064f0568043a93,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
AMZN,yahoo,835c2a76092471fb1977d8f21432d14a53d2ea500978013baeccfe16fdc5d07e,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
GOOGL,yahoo,06ba01a2d0606ca849578ba7a638d1d06e8b4bb1bcde9f6018f2133287dfcbcc,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
NVDA,yahoo,3e1725289cd940c4e16338701ebf3a1c78aef0d665c72646c32b86b0ada4e2e3,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
JPM,yahoo,e602f390a0be2297e5b21d0d351ab1a37d506b9b9fcdfc025a6901cb133be7c8,4770,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
BAC,yahoo,9a90b1247ecd32dd124268a7399b428250ea4b36c8e482e2fc6b9d003be39596,4772,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 156, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
GS,yahoo,36da0e752419887817986f558e9ccbde3eddb60b8f36a13022689e0f8dd5c5c9,4770,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 156, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XOM,yahoo,da32496daf7322373f28a1a2b7fddf44c6469281ab2fcc6863d9235ab77f326e,4756,987,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,17,"{'warmup': 157, 'development': 363, 'validation': 208, 'holdout': 259}",{},[]
CVX,yahoo,05025066096a3a86eede7359098a1cbaa7a524ed4bd0ffc42f275269234ff376,4765,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,8,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
JNJ,yahoo,74102a3ed553b8627715860c96215f02591c86fb2e30474d5c8cee55a340e320,4770,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
MRK,yahoo,0452859fc7d82fdf45018f0449e70bfd11f7cab7707364f403dd45558f05991f,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
PFE,yahoo,8d790e10a2d9751eef7e2b06a03b65cb9f34a18ba92e8a7597422b656fcf1fa3,4762,985,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,11,"{'warmup': 157, 'development': 361, 'validation': 208, 'holdout': 259}",{},[]
UNH,yahoo,c67b896d167cef6930b3a4f0c6c06c7c31bdf964bda785a91f4f84d5c188ab63,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
