rule,split,horizon_weeks,count,q10,q25,median,q75,q90,max_drawdown_pct
candidate,development,13,955,-9.328829199534132,-2.0944742542023773,3.324719186233538,9.342023659137201,14.987664029076072,-56.43951809632506
candidate,validation,13,530,-10.497936132322119,-1.7615173515813543,4.20595648356068,9.842328057952443,15.821169542297614,-152.21633463804608
candidate,holdout,13,642,-12.105394740675797,-3.9351292543070073,2.7154295771256165,9.701799860813715,18.61905680422103,-134.39715637759264
baseline,development,13,877,-8.328626299634772,-2.617372217409497,3.2363119729318157,9.493116881637743,14.100593055284486,-69.48454594508814
baseline,validation,13,493,-10.354261140379409,-2.122627544697353,4.175407001381903,9.701136374656993,15.513663923789261,-99.42387627431242
baseline,holdout,13,587,-10.518381271693295,-3.5820344532987383,2.8635471430155546,10.149298128876927,18.42045792143904,-83.5486391888785
candidate,development,26,922,-9.931392616444278,-1.0442167553791404,7.254075102375257,14.272526915788408,23.09490935744068,-106.59045480715076
candidate,validation,26,500,-12.052300775924722,-1.870472011442406,7.318499887528351,15.584234701625704,24.493451172252865,-197.03388547423106
candidate,holdout,26,609,-13.424056406686281,-3.220755800881936,6.214710709117943,16.001259766774755,27.606721337036465,-222.23000174832805
baseline,development,26,851,-9.009691886854554,-1.0568625472769266,6.575884008431898,13.700542023304497,23.581136321240017,-122.98505743481076
baseline,validation,26,463,-12.756875376366304,-2.292260051728534,6.618643402098789,15.031043324889225,25.40847791106226,-139.68213662560288
baseline,holdout,26,555,-11.532456568418098,-2.974850141900837,6.151947297352489,15.0447778522949,26.264676624591754,-188.3172825071906
