ticker,rule,split,trade_count,complete_count,weeks_in_market
AAPL,baseline,development,27,19,247
AAPL,baseline,holdout,15,14,182
AAPL,baseline,validation,17,13,169
AAPL,candidate,development,30,22,286
AAPL,candidate,holdout,17,16,208
AAPL,candidate,validation,18,13,169
AMZN,baseline,development,29,22,286
AMZN,baseline,holdout,14,13,169
AMZN,baseline,validation,21,12,156
AMZN,candidate,development,34,23,299
AMZN,candidate,holdout,16,15,195
AMZN,candidate,validation,24,13,169
BA,baseline,development,27,21,273
BA,baseline,holdout,12,11,143
BA,baseline,validation,18,10,130
BA,candidate,development,34,23,299
BA,candidate,holdout,14,13,169
BA,candidate,validation,18,12,156
BAC,baseline,development,24,17,221
BAC,baseline,holdout,16,15,195
BAC,baseline,validation,18,10,130
BAC,candidate,development,28,18,234
BAC,candidate,holdout,16,15,195
BAC,candidate,validation,16,13,169
CAT,baseline,development,31,17,221
CAT,baseline,holdout,15,14,182
CAT,baseline,validation,14,13,169
CAT,candidate,development,34,20,260
CAT,candidate,holdout,16,15,195
CAT,candidate,validation,22,13,169
COST,baseline,development,26,22,286
COST,baseline,holdout,16,16,208
COST,baseline,validation,20,13,169
COST,candidate,development,29,23,299
COST,candidate,holdout,17,16,208
COST,candidate,validation,27,13,169
CSCO,baseline,development,32,18,234
CSCO,baseline,holdout,15,14,182
CSCO,baseline,validation,16,10,130
CSCO,candidate,development,24,22,286
CSCO,candidate,holdout,16,15,195
CSCO,candidate,validation,19,13,169
CVX,baseline,development,28,19,247
CVX,baseline,holdout,15,14,182
CVX,baseline,validation,18,11,143
CVX,candidate,development,24,23,299
CVX,candidate,holdout,18,17,221
CVX,candidate,validation,18,12,156
DIA,baseline,development,36,22,286
DIA,baseline,holdout,17,16,208
DIA,baseline,validation,14,13,169
DIA,candidate,development,28,24,312
DIA,candidate,holdout,17,16,208
DIA,candidate,validation,22,13,169
DIS,baseline,development,29,21,273
DIS,baseline,holdout,11,10,130
DIS,baseline,validation,19,12,156
DIS,candidate,development,30,22,286
DIS,candidate,holdout,14,13,169
DIS,candidate,validation,18,13,169
GOOGL,baseline,development,26,21,273
GOOGL,baseline,holdout,15,15,195
GOOGL,baseline,validation,17,13,169
GOOGL,candidate,development,31,23,299
GOOGL,candidate,holdout,16,15,195
GOOGL,candidate,validation,22,13,169
GS,baseline,development,23,16,208
GS,baseline,holdout,16,15,195
GS,baseline,validation,23,10,130
GS,candidate,development,31,20,260
GS,candidate,holdout,16,15,195
GS,candidate,validation,25,12,156
HD,baseline,development,29,22,286
HD,baseline,holdout,13,13,169
HD,baseline,validation,19,13,169
HD,candidate,development,24,24,312
HD,candidate,holdout,16,15,195
HD,candidate,validation,24,13,169
HON,baseline,development,25,24,312
HON,baseline,holdout,13,13,169
HON,baseline,validation,14,13,169
HON,candidate,development,25,24,312
HON,candidate,holdout,16,15,195
HON,candidate,validation,20,13,169
IBM,baseline,development,31,18,234
IBM,baseline,holdout,16,15,195
IBM,baseline,validation,17,9,117
IBM,candidate,development,22,21,273
IBM,candidate,holdout,17,17,221
IBM,candidate,validation,16,11,143
IWM,baseline,development,29,21,273
IWM,baseline,holdout,14,13,169
IWM,baseline,validation,14,13,169
IWM,candidate,development,31,23,299
IWM,candidate,holdout,16,15,195
IWM,candidate,validation,19,13,169
JNJ,baseline,development,24,22,286
JNJ,baseline,holdout,16,16,208
JNJ,baseline,validation,18,12,156
JNJ,candidate,development,37,23,299
JNJ,candidate,holdout,16,16,208
JNJ,candidate,validation,19,13,169
JPM,baseline,development,27,20,260
JPM,baseline,holdout,15,15,195
JPM,baseline,validation,22,11,143
JPM,candidate,development,35,23,299
JPM,candidate,holdout,16,16,208
JPM,candidate,validation,23,12,156
KO,baseline,development,22,22,286
KO,baseline,holdout,16,15,195
KO,baseline,validation,16,12,156
KO,candidate,development,28,23,299
KO,candidate,holdout,17,16,208
KO,candidate,validation,22,13,169
MCD,baseline,development,28,22,286
MCD,baseline,holdout,16,15,195
MCD,baseline,validation,13,12,156
MCD,candidate,development,24,24,312
MCD,candidate,holdout,17,16,208
MCD,candidate,validation,21,12,156
