rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,group
candidate,development,13,10872,sufficient_sample,3.3404761453323655,3.24084210554596,9.685225476565856,0.657560706401766,3.3404761453323655,0.657560706401766,2.9382640439589776,3.134001667519525,0.6483627667402502,2.8250622992209933,0.63373804267844,baseline_and_candidate
baseline,development,13,10872,sufficient_sample,3.3404761453323655,3.24084210554596,9.685225476565856,0.657560706401766,3.3404761453323655,0.657560706401766,2.9382640439589776,3.134001667519525,0.6483627667402502,2.8250622992209933,0.63373804267844,baseline_and_candidate
candidate,development,13,1655,sufficient_sample,5.342227519156138,5.33697439138785,11.330231595715391,0.713595166163142,5.342227519156138,0.713595166163142,4.422306935885861,5.131753538098894,0.7057401812688822,4.816829875669085,0.6996978851963747,candidate_only
baseline,development,13,206,sufficient_sample,2.4087111734576,3.043469226473483,10.438303815304037,0.6359223300970874,2.4087111734576,0.6359223300970874,2.4841846831736194,2.2040983639202336,0.6213592233009708,1.897944534188496,0.616504854368932,baseline_only
candidate,validation,13,5768,sufficient_sample,3.302242426975825,3.77129106048939,11.808859660488086,0.658113730929265,3.302242426975825,0.658113730929265,2.5558553729639275,3.0958443402086515,0.6499653259361997,2.78701927272658,0.6380027739251041,baseline_and_candidate
baseline,validation,13,5768,sufficient_sample,3.302242426975825,3.77129106048939,11.808859660488086,0.658113730929265,3.302242426975825,0.658113730929265,2.5558553729639275,3.0958443402086515,0.6499653259361997,2.78701927272658,0.6380027739251041,baseline_and_candidate
candidate,validation,13,903,sufficient_sample,4.899962988942809,5.516060394766709,13.380414032079285,0.7242524916943521,4.899962988942809,0.7242524916943521,6.142432194104658,4.690372653300577,0.7220376522702104,4.376771153586497,0.7109634551495017,candidate_only
baseline,validation,13,122,sufficient_sample,8.015769560882292,7.543008405087415,14.7098577937636,0.7622950819672131,8.015769560882292,0.7622950819672131,3.940935055387108,7.799953837483939,0.7622950819672131,7.477037543122291,0.7622950819672131,baseline_only
candidate,holdout,13,6789,sufficient_sample,3.863155304223444,2.927212146788105,12.135589762530977,0.6152599793784063,3.863155304223444,0.6152599793784063,3.8538387819116715,3.6556365124068257,0.6076005302695537,3.3451345795141116,0.5944910885255561,baseline_and_candidate
baseline,holdout,13,6789,sufficient_sample,3.863155304223444,2.927212146788105,12.135589762530977,0.6152599793784063,3.863155304223444,0.6152599793784063,3.8538387819116715,3.6556365124068257,0.6076005302695537,3.3451345795141116,0.5944910885255561,baseline_and_candidate
candidate,holdout,13,966,sufficient_sample,2.910727834906077,2.848657901486795,13.495151679398393,0.6004140786749482,2.910727834906077,0.6004140786749482,3.398740980879633,2.705111995076106,0.5952380952380952,2.397457371889099,0.5838509316770186,candidate_only
