rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps
candidate,development,13,12527,sufficient_sample,3.6049367922293354,3.4507669078263747,9.941343661215615,0.6649636784545382,3.6049367922293354,0.6649636784545382,3.1343278250828694,3.397933921515602,0.6559431627684202,3.0882039403977783,0.642452303025465
candidate,validation,13,6671,sufficient_sample,3.5185131011560364,4.040754119944889,12.046012480778796,0.6670664068355568,3.5185131011560364,0.6670664068355568,3.04134163731561,3.3116829051497416,0.659721181232199,3.0022112901777125,0.6478788787288262
candidate,holdout,13,7755,sufficient_sample,3.7445163699409716,2.9229865742920635,12.317147227499843,0.613410702772405,3.7445163699409716,0.613410702772405,3.7971496167541026,3.53723461895209,0.6060606060606061,3.2270873606145933,0.5931656995486783
baseline,development,13,11078,sufficient_sample,3.3231495896177776,3.2340834495869886,9.70057949582143,0.65715833182885,3.3231495896177776,0.65715833182885,2.92982025010433,3.1167097302978735,0.6478606246614912,2.807822160243137,0.6334175844015165
baseline,validation,13,5890,sufficient_sample,3.3998740586119185,3.8516839774652034,11.89509546527688,0.6602716468590832,3.3998740586119185,0.6602716468590832,2.58454462954383,3.1932809036496677,0.6522920203735144,2.8841639635565084,0.6405772495755517
baseline,holdout,13,7004,sufficient_sample,3.8559545087285594,2.9252030036059695,12.139625682009308,0.615648201027984,3.8559545087285594,0.615648201027984,3.8756716581527604,3.6484501041157276,0.6079383209594518,3.337969698211221,0.5949457452884066
candidate,development,26,12017,sufficient_sample,7.343685354622273,7.014101622554669,13.646121734611848,0.7357909628026962,7.343685354622273,0.7357909628026962,6.4666408587065005,7.129212456810851,0.7311308978946492,6.80830537779125,0.7238079387534326
candidate,validation,26,6258,sufficient_sample,7.188175494964263,6.579463908181749,16.810025746357205,0.6852029402364973,7.188175494964263,0.6852029402364973,6.22076195814739,6.974013306163147,0.6810482582294662,6.653571128405848,0.6711409395973155
candidate,holdout,26,7287,sufficient_sample,6.964220692993208,5.555706962978091,18.211688092702047,0.6580211335254563,6.964220692993208,0.6580211335254563,6.752267368945809,6.7505059663338915,0.6511595992864004,6.430733307990757,0.6422396047756278
baseline,development,26,10599,sufficient_sample,6.924999051894147,6.560134910706483,13.646329565283606,0.7290310406642136,6.924999051894147,0.7290310406642136,6.02359457860206,6.711362690152113,0.7245023115388244,6.3917072860493,0.7166713840928389
baseline,validation,26,5510,sufficient_sample,6.862436798468665,6.072546923237465,16.775916253010507,0.6727767695099819,6.862436798468665,0.6727767695099819,5.524510061154399,6.648925436233974,0.6687840290381125,6.3294570638129715,0.6586206896551724
baseline,holdout,26,6579,sufficient_sample,7.204422457147545,5.940713911249107,17.914450810437895,0.6680346557227542,7.204422457147545,0.6680346557227542,6.786694108365177,6.990227806883525,0.6610427116583067,6.669737058358791,0.651922784617723
