rule,split,horizon_weeks,slippage_bps,count,mean_net_return_pct,median_net_return_pct,std_net_return_pct,win_rate
candidate,development,13,0.0,955,3.337242579151591,3.3099482335969155,10.303094620852379,0.6628272251308901
candidate,validation,13,0.0,530,3.49507866433537,4.2537334473463195,13.084871842144267,0.6811320754716981
candidate,holdout,13,0.0,642,3.374277940515277,2.7154297278415007,12.527101389671346,0.6214953271028038
baseline,development,13,0.0,875,3.4298107681130463,3.0851351334482136,10.0064167789076,0.664
baseline,validation,13,0.0,493,3.5357961263573348,4.2248607024452545,12.563353567713582,0.691683569979716
baseline,holdout,13,0.0,587,3.718258960454606,2.8635882636195875,12.584307912089935,0.637137989778535
candidate,development,13,10.0,955,3.13077456201044,3.1035347506127353,10.282509017214315,0.6523560209424084
candidate,validation,13,10.0,530,3.288295290380665,4.045434279619354,13.058728242060065,0.6754716981132075
candidate,holdout,13,10.0,642,3.1677359266481258,2.5102040940196635,12.502072216065608,0.6152647975077882
baseline,development,13,10.0,875,3.2231577995454,2.8791708274872985,9.986423938190502,0.6571428571428571
baseline,validation,13,10.0,493,3.3289313988321556,4.016619222520323,12.538251962183685,0.6876267748478702
baseline,holdout,13,10.0,587,3.51102967182234,2.6580666087472338,12.559164439738108,0.6286201022146508
candidate,development,13,25.0,955,2.8218448605523427,2.794686646396949,10.251707615262095,0.6408376963350786
candidate,validation,13,25.0,530,2.9788937333411893,3.733764701973019,13.019610635949034,0.6716981132075471
candidate,holdout,13,25.0,642,2.8586955068967588,2.203133320221373,12.464622080994681,0.602803738317757
baseline,development,13,25.0,875,2.9139513627858094,2.570994808593108,9.956509463302076,0.6342857142857142
baseline,validation,13,25.0,493,3.0194081157520722,3.705035960787173,12.500693450168876,0.6815415821501014
baseline,holdout,13,25.0,587,3.2009609107765384,2.350552910683845,12.521543284099462,0.6149914821124361
candidate,development,26,0.0,921,7.175534710652081,7.3963381018840035,14.22805255638086,0.7242128121606949
candidate,validation,26,0.0,500,7.227029259026219,7.318518802051132,17.45029021051346,0.69
candidate,holdout,26,0.0,609,7.3068985054815085,6.35557745221782,19.239577937478423,0.6617405582922824
baseline,development,26,0.0,850,6.976001760302625,6.5680173862566305,14.075029530598345,0.7223529411764706
baseline,validation,26,0.0,463,6.737143250918031,6.647574102004694,16.9509764062961,0.673866090712743
baseline,holdout,26,0.0,555,6.947080713907738,6.1800723027857885,18.657914981515127,0.6522522522522523
candidate,development,26,10.0,921,6.961397778163278,7.181760003778348,14.199624878945533,0.7166123778501629
candidate,validation,26,10.0,500,7.012789440326877,7.104096187062026,17.415424495807144,0.69
candidate,holdout,26,10.0,609,7.092499107868168,6.143078795969648,19.20113722231863,0.6568144499178982
baseline,development,26,10.0,850,6.7622634950472875,6.355094274595796,14.046907593474275,0.7164705882352941
baseline,validation,26,10.0,463,6.523882225441683,6.4344920358668345,16.91710832156824,0.673866090712743
baseline,holdout,26,10.0,555,6.733400232960881,5.967924306176853,18.620636430103506,0.6468468468468469
candidate,development,26,25.0,921,6.640993390399465,6.860695517834725,14.157089700738062,0.7090119435396308
candidate,validation,26,25.0,500,6.692231108108394,6.783264344185557,17.363256344126864,0.672
candidate,holdout,26,25.0,609,6.771702004207297,5.825125694351407,19.143619942777786,0.6518883415435139
baseline,development,26,25.0,850,6.442455616859732,6.036506077597014,14.004829882066685,0.7058823529411765
baseline,validation,26,25.0,463,6.2047884217364055,6.115666001745335,16.86643288307268,0.6673866090712743
baseline,holdout,26,25.0,555,6.413678815085267,5.650495882323026,18.56485804893899,0.6414414414414414
