ticker,data_source,sha256,manifest_rows,validated_rows,data_start,data_end,duplicate_timestamps,missing_required_values,invalid_ohlc_rows,split_event_counts,complete_outcomes,warnings
AAPL,yahoo,a50eabeb3127393be3c906091d512e44835f607be68ae4bc9d357b807ecf1f5d,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
MSFT,yahoo,8b293de91f38357bf4f799744b9222d902cc52c1f503fd9df20dbd1c7bcd964f,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
AMZN,yahoo,4df1138fa4880d24dcf7ea7866484f6a16601f37783b9c3be2b71b7c011007b2,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
GOOGL,yahoo,c316170d667832d53289e063bf5d8d598bccfe4a1c58f32333079d9c2212bfb4,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
NVDA,yahoo,66dbf0c221d74416feec9038b5dc15b9bedb1e793821b793be87584bc70063ba,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
JPM,yahoo,872f6bd17479d0038ca36a8d328c402967c270f3ea5200b734b30aeb4abe4eee,4768,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,5,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
BAC,yahoo,676dde87f766543f29e450564fc20c8d2aa8349b784125971dea48fee487e991,4770,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
GS,yahoo,4e2b0901ccc56e61e7b177477363123d914f3e3343c926fca0661d7c8f904797,4772,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 156, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XOM,yahoo,78ba757a39a88a469ab333622d8bea7f7a899728effd745e6f645959d1abeb91,4759,987,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,14,"{'warmup': 157, 'development': 362, 'validation': 209, 'holdout': 259}",{},[]
CVX,yahoo,023a32c6fd0c4c45d900901304e813e169922da199f9e9bcf1efa0fbfa5a81d1,4768,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,5,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
