rule,split,horizon_weeks,count,q10,q25,median,q75,q90,max_drawdown_pct
candidate,development,13,955,-9.054212645173093,-2.173039234753377,3.3099482335969155,9.405772391798395,14.887247452353352,-56.439450779294305
candidate,validation,13,530,-10.74888564812832,-1.75763264608913,4.2537334473463195,9.818933001397685,15.821156525964335,-161.895333098224
candidate,holdout,13,642,-12.02189598924457,-3.9351292244431484,2.7154297278415007,9.7017979887837,18.551849766438167,-134.39707488767317
baseline,development,13,875,-8.550080603028707,-2.4580904476468044,3.0851351334482136,9.450895230950596,14.102227122759817,-69.48460018038958
baseline,validation,13,493,-10.445823504496508,-2.1225983260545145,4.2248607024452545,9.701136374656993,15.513701386189574,-99.57224623139587
baseline,holdout,13,587,-10.518397929953265,-3.582034543188267,2.8635882636195875,10.149292957628276,18.322218669260053,-83.54863752390429
candidate,development,26,921,-9.47647970577188,-0.9563419650092997,7.3963381018840035,14.318726033476747,23.08845254794658,-101.07330574119896
candidate,validation,26,500,-12.052286224725487,-1.8442932703449655,7.318518802051132,15.482589315698501,24.49344834480965,-193.6437198606975
candidate,holdout,26,609,-12.276350237504039,-3.2207400788351603,6.35557745221782,16.007515895707634,27.606727389508915,-222.23001927511632
baseline,development,26,850,-8.688007051975392,-1.0224315362588776,6.5680173862566305,13.787307338745046,23.384871289051823,-122.98517247954021
baseline,validation,26,463,-12.756865646665581,-2.503744920477108,6.647574102004694,15.029344882254904,25.408472236422547,-144.63461251996068
baseline,holdout,26,555,-11.532463200073723,-2.9748385255805143,6.1800723027857885,15.127356577865791,26.243925410139543,-188.31730253856267
