rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps
candidate,development,13,12516,sufficient_sample,3.6061946151290845,3.4606754037148413,9.939521451288309,0.6653883029721956,3.6061946151290845,0.6653883029721956,3.0968172802853067,3.3991892312826844,0.6565196548418025,3.0894554898666065,0.6429370405880473
candidate,validation,13,6672,sufficient_sample,3.512325617536461,4.0414906807548885,12.041597301905684,0.6675659472422062,3.512325617536461,0.6675659472422062,3.038827844305151,3.305507784134801,0.6602218225419664,2.996054666825567,0.6480815347721822
candidate,holdout,13,7755,sufficient_sample,3.7480221872668857,2.9231630889761773,12.318537190763607,0.6135396518375241,3.7480221872668857,0.6135396518375241,3.7974792474192056,3.5407334316479817,0.6061895551257254,3.230575692567311,0.5932946486137975
baseline,development,13,11076,sufficient_sample,3.3223668349928395,3.2340931419170382,9.698569109244598,0.6575478512098231,3.3223668349928395,0.6575478512098231,2.899575740251724,3.11592853961824,0.6484290357529794,2.8070433096312897,0.6339833875045142
baseline,validation,13,5894,sufficient_sample,3.3981286766525107,3.882259434929347,11.888913192502901,0.6608415337631489,3.3981286766525107,0.6608415337631489,2.5857081287261887,3.191539008966903,0.652867322701052,2.882427286744031,0.6409908381404819
baseline,holdout,13,7005,sufficient_sample,3.8577884005922574,2.927193111021964,12.140315252049332,0.6157030692362598,3.8577884005922574,0.6157030692362598,3.8757729631272153,3.6502803318598165,0.607994289793005,3.339794443482082,0.5950035688793719
candidate,development,26,12006,sufficient_sample,7.3501111579220995,7.014534081257051,13.64293107965165,0.7355488922205564,7.3501111579220995,0.7355488922205564,6.446072447237118,7.135625421342847,0.7307179743461603,6.814699132196814,0.7233050141595869
candidate,validation,26,6259,sufficient_sample,7.170069796810575,6.551458681478262,16.79203496669795,0.6847739255472121,7.170069796810575,0.6847739255472121,6.2102941145599155,6.955943783230545,0.6807796772647388,6.635555732986095,0.6703946317303083
candidate,holdout,26,7287,sufficient_sample,6.9692481865017735,5.563257221786921,18.209469966778176,0.6581583642102374,6.9692481865017735,0.6581583642102374,6.754855510266113,6.755523414900383,0.6512968299711815,6.435735726718733,0.6423768354604089
baseline,development,26,10597,sufficient_sample,6.927999130178259,6.573340681347228,13.645320936280356,0.7286024346513164,6.927999130178259,0.7286024346513164,6.00504985914823,6.714356774273818,0.7238841181466453,6.394692401349451,0.7159573464187978
baseline,validation,26,5514,sufficient_sample,6.846056900717222,6.064846588167971,16.75190901657769,0.6724700761697497,6.846056900717222,0.6724700761697497,5.518022161155775,6.632578265550965,0.6684802321363801,6.313158861312159,0.6579615524120421
baseline,holdout,26,6580,sufficient_sample,7.206303386794885,5.9434729949574105,17.91366221640798,0.6680851063829787,7.206303386794885,0.6680851063829787,6.7867749039021765,6.992104978429672,0.6610942249240122,6.6716086068108815,0.6519756838905775
