split,rule,group,overlap_policy,horizon_weeks,slippage_bps,count,cluster_count,mean_net_return_pct,ci_lower,ci_upper
development,candidate,baseline_and_candidate,non_overlapping,13,10.0,754,276,4.415974655395891,3.4167423549817295,5.488774470249098
development,candidate,candidate_only,non_overlapping,13,10.0,177,136,5.9791438039714615,3.7921309015188824,8.674194113660459
development,candidate,all,non_overlapping,13,10.0,931,286,4.70225842384488,3.8379583503763413,5.676676714362211
development,baseline,baseline_and_candidate,non_overlapping,13,10.0,856,285,4.663394373642014,3.71863347982413,5.6851189432038
development,baseline,baseline_only,non_overlapping,13,10.0,13,12,3.2660705992068135,-2.019636820385145,8.466396215805668
development,baseline,all,non_overlapping,13,10.0,869,286,4.627003585241636,3.718658174342112,5.634967284228025
validation,candidate,baseline_and_candidate,non_overlapping,13,10.0,412,161,4.492803299040699,2.952999213497258,6.201319958531859
validation,candidate,candidate_only,non_overlapping,13,10.0,106,86,6.5632956452593385,4.157616334911208,9.048614029585988
validation,candidate,all,non_overlapping,13,10.0,518,168,4.894613745819762,3.5636355977157166,6.283809862532244
validation,baseline,baseline_and_candidate,non_overlapping,13,10.0,462,163,4.951889549129398,3.5346343134143967,6.498773304062074
validation,baseline,baseline_only,non_overlapping,13,10.0,12,12,4.681232970477826,0.8312865395794657,8.391811868602751
validation,baseline,all,non_overlapping,13,10.0,474,163,4.924316746537748,3.5663119040075233,6.474886378177687
holdout,candidate,baseline_and_candidate,non_overlapping,13,10.0,504,196,3.9081760879989518,2.634663407612776,5.271040099281096
holdout,candidate,candidate_only,non_overlapping,13,10.0,124,96,3.4974403832117646,0.8305766565354766,6.275459802735788
holdout,candidate,all,non_overlapping,13,10.0,628,209,3.8542653405568816,2.7581198811139025,5.028434171316649
holdout,baseline,baseline_and_candidate,non_overlapping,13,10.0,542,201,3.6220541797594277,2.5352563920184044,4.782465533329742
holdout,baseline,baseline_only,non_overlapping,13,10.0,32,31,9.537730790232663,3.920488163541956,15.637312694859675
holdout,baseline,all,non_overlapping,13,10.0,574,203,3.941200517419062,2.754934721830928,5.205206823283524
