rule,split,horizon_weeks,count,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_5bps,win_rate_net_5bps,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,cohort
candidate,development,13,8524,5.190244558162725,4.267345585352656,14.69965432159646,0.6722196152041295,5.190244558162725,0.6722196152041295,3.1215424000540968,5.085106882442433,0.6678789300797747,4.980074239365208,0.6637728765837635,4.665604934431251,0.6521586109807602,stock
baseline,development,13,7619,5.012981830326825,4.02418274007168,14.851233077511036,0.665704160651004,5.012981830326825,0.665704160651004,2.9167050397956076,4.908021328747299,0.66150413440084,4.803165682813696,0.657304108150676,4.489226309976079,0.6450977818611366,stock
candidate,development,13,3744,2.9623681782015945,3.525313841537725,7.034895225751482,0.7019230769230769,2.9623681782015945,0.7019230769230769,3.0741210711946474,2.8594572654797648,0.6963141025641025,2.7566491608625414,0.6944444444444444,2.448840157362694,0.6765491452991453,etf
baseline,development,13,3396,2.716973185214227,3.235290789885781,6.767997042711927,0.694640753828033,2.716973185214227,0.694640753828033,2.835641157451452,2.6143075448492064,0.6878680800942285,2.511744467561462,0.6861012956419317,2.2046690795523216,0.6669611307420494,etf
candidate,validation,13,4864,5.990110458939046,5.698990558363992,15.89144646352425,0.6870888157894737,5.990110458939046,0.6870888157894737,3.240984815674717,5.884173317051062,0.68359375,5.778342006473644,0.6805098684210527,5.461481479093974,0.6702302631578947,stock
baseline,validation,13,4372,5.901556030042592,5.489086882750572,16.095707792311963,0.6827538883806038,5.901556030042592,0.6827538883806038,2.8236386919396814,5.795707398328418,0.6788655077767612,5.689964509503058,0.6754345837145471,5.373368718172066,0.6646843549862763,stock
candidate,validation,13,1908,2.209358305616132,3.7121039154211943,10.130195976975402,0.6844863731656184,2.209358305616132,0.6844863731656184,2.717300804882813,2.1072000264501103,0.6813417190775681,2.00514380350702,0.6787211740041929,1.6995859449896282,0.6640461215932913,etf
baseline,validation,13,1676,1.7499692306647872,3.6561059371886917,9.818903246640483,0.6867541766109785,1.7499692306647872,0.6867541766109785,2.1108143192049784,1.6482701109939684,0.6837708830548926,1.5466725888452875,0.6807875894988067,1.2424880873697113,0.6670644391408115,etf
candidate,holdout,13,5601,4.788350871379848,3.5051156481083368,15.228417385109422,0.6220317800392787,4.788350871379848,0.6220317800392787,3.880968463235945,4.6836148884999185,0.619889305481164,4.578983536971508,0.6159614354579539,4.265715704939061,0.6041778253883235,stock
baseline,holdout,13,5027,4.837296571783544,3.4597002664741305,15.030969211851993,0.6198527949074994,4.837296571783544,0.6198527949074994,3.9134601128298985,4.732511667663831,0.6176646111000597,4.627831443768003,0.6134871692858563,4.314417287136255,0.6021483986473045,stock
candidate,holdout,13,2349,2.942256360038308,2.99823071110652,8.470504636669284,0.6530438484461473,2.942256360038308,0.6530438484461473,3.847424120663104,2.839365549083759,0.6492124308216263,2.736577526152129,0.6445295870583226,2.428828647519425,0.6292039165602384,etf
baseline,holdout,13,2177,3.0014768624102026,2.9913899970474445,8.151615879681328,0.6587046394120349,3.0014768624102026,0.6587046394120349,3.9737366449002343,2.8985268605487353,0.6545705098759761,2.795679705841962,0.6495176848874598,2.487753785789714,0.6338998621956822,etf
candidate,development,26,8176,10.546553871857292,8.565602804281925,24.054376166273354,0.7452299412915852,10.546553871857292,0.7452299412915852,6.338823431374753,10.436062563639556,0.7425391389432485,10.325681636349097,0.7404598825831703,9.99519948845652,0.7328767123287672,stock
baseline,development,26,7305,10.450207477891592,8.181838996277646,24.79796899639482,0.7415468856947296,10.450207477891592,0.7415468856947296,5.9610558329705965,10.339812467918698,0.7390828199863108,10.229527742671038,0.736892539356605,9.899333625134037,0.7290896646132786,stock
candidate,development,26,3592,6.056536781031075,6.517413152066354,9.167120824116662,0.7817371937639198,6.056536781031075,0.7817371937639198,6.345684351123681,5.950533246017563,0.7783964365256125,5.844635608641415,0.7770044543429844,5.527576497833924,0.7678173719376392,etf
baseline,development,26,3241,5.532657340576038,6.138048804700591,8.787035111288233,0.7744523295279235,5.532657340576038,0.7744523295279235,5.809237333428006,5.427177423194165,0.7710583153347732,5.321802880355118,0.7695155816106141,5.006309922418562,0.759642085775995,etf
candidate,validation,26,4558,12.068362064254126,9.670518033249909,26.272566380955332,0.7294866169372531,12.068362064254126,0.7294866169372531,6.571283588051678,11.956349708367828,0.7283896445809566,11.84444925293695,0.72729267222466,11.509417615055863,0.7187362878455463,stock
baseline,validation,26,4079,11.990312515000825,9.215146113972006,27.038488738243217,0.7207648933562147,11.990312515000825,0.7207648933562147,5.9279778325386685,11.87837816965851,0.7197842608482471,11.766555646838997,0.7183133120862957,11.43175734036243,0.709242461387595,stock
candidate,validation,26,1789,4.262363906758776,5.5712923619661625,12.263358053699523,0.6718837339295696,4.262363906758776,0.6718837339295696,5.4853388829427265,4.1581536479814165,0.670206819452208,4.054047495356671,0.6685299049748463,3.7423521167001397,0.6562325321408609,etf
baseline,validation,26,1570,3.862782905997603,5.564213100417115,11.477286601801024,0.6643312101910828,3.862782905997603,0.6643312101910828,4.8454541105244004,3.7589720285303505,0.6624203821656051,3.6552648582333838,0.6617834394904458,3.344764038636031,0.6503184713375796,etf
candidate,holdout,26,5304,8.678283962602116,7.284783487013757,22.55959856762683,0.6625188536953243,8.678283962602116,0.6625188536953243,6.910228637713825,8.569659990625514,0.6595022624434389,8.46114453410542,0.6576168929110106,8.136247633611593,0.6515837104072398,stock
baseline,holdout,26,4775,8.785033661644556,7.379959256888702,21.864388531565805,0.6699476439790576,8.785033661644556,0.6699476439790576,6.913972177395087,8.676302993317089,0.6665968586387434,8.567680947035889,0.6645026178010471,8.24246491520245,0.6582198952879581,stock
candidate,holdout,26,2199,5.0514074252804155,5.530423074912716,11.890392279727454,0.6953160527512505,5.0514074252804155,0.6953160527512505,6.743753770820464,4.9464085173091314,0.690768531150523,4.841514503351793,0.6880400181900864,4.527460256077033,0.6748522055479763,etf
baseline,holdout,26,2030,5.351175138244247,5.997799929890957,11.435047060205155,0.712807881773399,5.351175138244247,0.712807881773399,6.96454522650583,5.245876612368952,0.7073891625615764,5.140683279826187,0.7049261083743842,4.8257328682280765,0.6926108374384237,etf
