rule,split,horizon_weeks,slippage_bps,count,mean_net_return_pct,median_net_return_pct,std_net_return_pct,win_rate
candidate,development,13,0.0,931,4.920236796273801,4.128456552541304,13.19101896088365,0.6981740064446831
candidate,validation,13,0.0,518,5.1245599394640475,4.90603608085225,15.350650534270507,0.6718146718146718
candidate,holdout,13,0.0,628,4.0498243100210045,3.1091998112459995,13.750936917512748,0.6273885350318471
baseline,development,13,0.0,869,4.848451599259524,3.9134968262001912,13.567502747629273,0.6939010356731876
baseline,validation,13,0.0,474,5.15190524387371,4.274871320081674,14.993977093878561,0.6919831223628692
baseline,holdout,13,0.0,574,4.155992488757803,3.158195966294497,13.559053671908321,0.6533101045296167
candidate,development,13,5.0,931,4.8153689933789865,4.024380134197947,13.17783453413614,0.6917293233082706
candidate,validation,13,5.0,518,5.01948791553656,4.801182471576048,15.33530755522576,0.667953667953668
candidate,holdout,13,5.0,628,3.9458264846236943,3.0061421402702404,13.737192852627679,0.6242038216560509
baseline,development,13,5.0,869,4.743655545687063,3.809635260157007,13.55394202524284,0.6881472957422324
baseline,validation,13,5.0,474,5.04680588830763,4.170648560141577,14.97899061002661,0.6919831223628692
baseline,holdout,13,5.0,574,4.051888548239316,3.055089323649529,13.545501394375181,0.6533101045296167
candidate,development,13,10.0,931,4.7106059535240155,3.920407688300487,13.164663278644122,0.686358754027927
candidate,validation,13,10.0,518,4.914520858665931,4.696433611160245,15.319979903832406,0.667953667953668
candidate,holdout,13,10.0,628,3.8419325531578377,2.9031874240107447,13.72346251807716,0.6178343949044586
baseline,development,13,10.0,869,4.6389641834768,3.705877451922057,13.540394850031614,0.6835443037974683
baseline,validation,13,10.0,474,4.941811527102744,4.066529918842754,14.964019097686998,0.689873417721519
baseline,holdout,13,10.0,574,3.947888607661395,2.9520856846435795,13.531962655580832,0.6445993031358885
candidate,development,13,25.0,931,4.3969438446714495,3.6091126295860088,13.125228342624878,0.6713211600429646
candidate,validation,13,25.0,518,4.60024791981586,4.382813955760723,15.274088686219285,0.6602316602316602
candidate,holdout,13,25.0,628,3.530872567826397,2.594939463060242,13.682353690991489,0.6035031847133758
baseline,development,13,25.0,869,4.325516678564974,3.395225021580739,13.49983440474833,0.6593785960874569
baseline,validation,13,25.0,474,4.627456838667368,3.754797148909206,14.919194165729541,0.6835443037974683
baseline,holdout,13,25.0,574,3.636511229462263,2.64369124825814,13.491427469055912,0.632404181184669
candidate,development,26,0.0,897,9.584094281961226,8.116680473131698,22.23875179951534,0.745819397993311
candidate,validation,26,0.0,487,10.215850189410215,8.089930183810523,22.017062211178054,0.7371663244353183
candidate,holdout,26,0.0,596,7.896848494346327,7.474751653797451,21.642102666350304,0.6812080536912751
baseline,development,26,0.0,838,9.374434551184521,7.449711566724792,22.566913824592643,0.7565632458233891
baseline,validation,26,0.0,441,9.544607471051659,7.974854138928444,22.090233670230027,0.6984126984126984
baseline,holdout,26,0.0,544,7.894697667111141,6.609844132220044,20.029901743269054,0.6617647058823529
candidate,development,26,5.0,897,9.474564952344085,8.008617823983165,22.216524161534817,0.7447045707915273
candidate,validation,26,5.0,487,10.105689419605719,7.981894271582823,21.99505615199647,0.7351129363449692
candidate,holdout,26,5.0,596,7.789005567315509,7.367330612664224,21.620471379327466,0.6728187919463087
baseline,development,26,5.0,838,9.26511477652068,7.3423155531648465,22.544358188586056,0.7541766109785203
baseline,validation,26,5.0,441,9.435117608511886,7.866933245236374,22.06815447615684,0.6984126984126984
baseline,holdout,26,5.0,544,7.786856889832681,6.503287566370764,20.009881851471686,0.6617647058823529
candidate,development,26,10.0,897,9.365145042636641,7.900663129529062,22.19431872898684,0.7435897435897436
candidate,validation,26,10.0,487,9.995638700520296,7.873966287339407,21.973072076889988,0.7351129363449692
candidate,holdout,26,10.0,596,7.681270375476517,7.260016885258402,21.598861701981974,0.6694630872483222
baseline,development,26,10.0,838,9.155904212420927,7.2350268283297385,22.521825085682373,0.7541766109785203
baseline,validation,26,10.0,441,9.325737126454161,7.759120164624922,22.04609733922058,0.6984126984126984
baseline,holdout,26,10.0,544,7.679123845598443,6.396837450637194,19.98988195956622,0.6617647058823529
candidate,development,26,25.0,897,9.037540195766917,7.577445159051233,22.127835331687336,0.7335562987736901
candidate,validation,26,25.0,487,9.666145200934364,7.550828287631939,21.907251427082407,0.7207392197125256
candidate,holdout,26,25.0,596,7.358709599112691,6.938717979713671,21.534162004672748,0.6644295302013423
baseline,development,26,25.0,838,8.828926149432988,6.91380278085586,22.454360638435077,0.7398568019093079
baseline,validation,26,25.0,441,8.998250326557645,7.436326188110853,21.98005794120145,0.691609977324263
baseline,holdout,26,25.0,544,7.356569499195386,6.078124211361113,19.930001983951005,0.6525735294117647
