ticker,data_source,sha256,manifest_rows,validated_rows,data_start,data_end,duplicate_timestamps,missing_required_values,invalid_ohlc_rows,split_event_counts,complete_outcomes,warnings
AAPL,yahoo,abede26b8ffbb4c7541746d5e89212d25d7116999ad79aaa8ed16f38d777597b,4773,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,0,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
MSFT,yahoo,cded6e00374701b48d20eb87403352e5dda4655e3160d1d50df315dac943589b,4773,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,0,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
GOOGL,yahoo,d4750a2889f738259ee5e2385e8ff4972887c1cbcf12e0511b9259f202e654f4,4773,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,0,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
AMZN,yahoo,c1a3388c792cc302066b8f1e54e484cd90f2c164c44941bc20823ec7a067b2a8,4773,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,0,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
NVDA,yahoo,0d71ea49dbdc91c44e87ea5fa5a2dd753ab4c8b7f420723cd4f4f8a444f0a0e6,4773,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,0,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
TSLA,yahoo,e0e8a0cf1f8f64631800f7f1a5e0192644441c2960f74c191fc053464c18c01e,3895,808,2010-07-02T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,0,"{'development': 340, 'validation': 208, 'holdout': 260}",{},[]
META,yahoo,5037915de5a8b10a9e1dbf1510bf582096ffef713c9ee8ad981feff539bd27b7,3418,710,2012-05-18T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,0,"{'development': 242, 'validation': 208, 'holdout': 260}",{},[]
JPM,yahoo,77427374056915758af0d271a218954dc287ad11c1f8cc3d9994eaae7de47bee,4770,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,3,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
V,yahoo,2c6454dab4e929fb15d5913ffda18f91b16f319edd2a219ba4ef4b962f8fe0d5,4468,927,2008-03-21T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,1,"{'warmup': 93, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
MA,yahoo,fda8877da9aa780ca68b47c4b00e4120a8124a7fdd2c2c0e287bec8a57eac2d5,4773,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,0,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
HD,yahoo,bd2814f1cd756bffa1b78b034c835d901009b36763ddc56c40560b4ef0c87f74,4771,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,2,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
UNH,yahoo,c6b83c4455905db30dc7f9ca3c54164306cec096de23bd8cde2f6599c56dd14f,4772,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,1,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
PG,yahoo,de2681f85b59c9b7aea3380882f5a8ba5358a65562ff9cce60ff7646cef5ab76,4768,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,5,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
JNJ,yahoo,ba69099feaae991d387cc18edeb113e3fb9a2e0e654194aaaaff37a6af373637,4771,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,2,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
XOM,yahoo,4ee2969b3f8ba6c79f553a66120c61cdfd707b2741d1690abc4c379fa9f4960c,4756,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,17,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
CVX,yahoo,441b3ef76f4f8f67a934aefba4bfb2d75660a0b306b491d530c39e2e8af030b3,4768,990,2007-01-05T00:00:00+00:00,2025-12-19T00:00:00+00:00,0,0,5,"{'warmup': 156, 'development': 366, 'validation': 208, 'holdout': 260}",{},[]
