rule,split,horizon_weeks,count,q10,q25,median,q75,q90,max_drawdown_pct
candidate,development,13,931,-8.189512043419256,-1.3479722476478995,4.128456552541304,10.595404760057159,16.951020017992914,-61.84175506208658
candidate,validation,13,518,-9.465578401343981,-2.032263024745551,4.90603608085225,11.781790222281856,18.75999878026692,-77.83035174016095
candidate,holdout,13,628,-10.97903374369099,-3.7688460537419752,3.1091998112459995,10.791381102864445,19.66848675359203,-75.02437584491076
baseline,development,13,869,-7.530940976430802,-1.7150023844591522,3.9134968262001912,10.16668084054253,15.758189502368557,-69.48450993104001
baseline,validation,13,474,-8.33082333197068,-1.9756114955475161,4.274871320081674,10.776481456765403,16.61758773066587,-67.67609696008503
baseline,holdout,13,574,-11.340159991909191,-3.423367167201738,3.158195966294497,10.853531051897452,19.62436070277458,-106.85157025721867
candidate,development,26,897,-8.000372279127747,-0.11397161686619306,8.116680473131698,16.159121197025563,25.747889794849712,-92.00835688350423
candidate,validation,26,487,-10.576403285937493,-0.7336546032867708,8.089930183810523,18.399518610890397,30.297914539159002,-138.45262397386432
candidate,holdout,26,596,-14.98187865740152,-2.873299579867375,7.474751653797451,16.742469400981552,27.236194629196085,-169.0955530292258
baseline,development,26,838,-7.189250554782204,0.2921031794186568,7.449711566724792,14.638405116274578,25.535511316656017,-124.28354487324975
baseline,validation,26,441,-10.394610648153868,-1.7988557736773325,7.974854138928444,17.327566372056392,29.112935316406528,-134.6543927212665
baseline,holdout,26,544,-12.12881900003684,-3.270938624089417,6.609844132220044,16.622690459744618,26.950688125637136,-93.71668709760706
