ticker,rule,split,trade_count,complete_count,weeks_in_market
AAPL,baseline,development,20,19,247
AAPL,baseline,holdout,14,13,169
AAPL,baseline,validation,14,13,169
AAPL,candidate,development,23,22,286
AAPL,candidate,holdout,16,15,195
AAPL,candidate,validation,14,13,169
ABBV,baseline,development,10,9,117
ABBV,baseline,holdout,15,15,195
ABBV,baseline,validation,10,9,117
ABBV,candidate,development,10,9,117
ABBV,candidate,holdout,17,16,208
ABBV,candidate,validation,13,12,156
ACN,baseline,development,24,23,299
ACN,baseline,holdout,11,11,143
ACN,baseline,validation,14,13,169
ACN,candidate,development,25,24,312
ACN,candidate,holdout,15,14,182
ACN,candidate,validation,13,12,156
ADBE,baseline,development,23,22,286
ADBE,baseline,holdout,10,10,130
ADBE,baseline,validation,13,12,156
ADBE,candidate,development,23,22,286
ADBE,candidate,holdout,12,11,143
ADBE,candidate,validation,14,13,169
AMZN,baseline,development,23,22,286
AMZN,baseline,holdout,13,12,156
AMZN,baseline,validation,12,11,143
AMZN,candidate,development,24,23,299
AMZN,candidate,holdout,15,14,182
AMZN,candidate,validation,14,13,169
BAC,baseline,development,18,17,221
BAC,baseline,holdout,15,14,182
BAC,baseline,validation,11,10,130
BAC,candidate,development,19,18,234
BAC,candidate,holdout,15,14,182
BAC,candidate,validation,14,13,169
COST,baseline,development,24,23,299
COST,baseline,holdout,15,15,195
COST,baseline,validation,13,12,156
COST,candidate,development,25,24,312
COST,candidate,holdout,16,16,208
COST,candidate,validation,14,13,169
CRM,baseline,development,24,23,299
CRM,baseline,holdout,12,11,143
CRM,baseline,validation,14,13,169
CRM,candidate,development,24,24,312
CRM,candidate,holdout,16,15,195
CRM,candidate,validation,14,13,169
CSCO,baseline,development,19,18,234
CSCO,baseline,holdout,14,13,169
CSCO,baseline,validation,11,10,130
CSCO,candidate,development,23,22,286
CSCO,candidate,holdout,15,14,182
CSCO,candidate,validation,13,12,156
CVX,baseline,development,20,19,247
CVX,baseline,holdout,15,14,182
CVX,baseline,validation,11,10,130
CVX,candidate,development,24,23,299
CVX,candidate,holdout,17,16,208
CVX,candidate,validation,12,11,143
DIA,baseline,development,23,22,286
DIA,baseline,holdout,17,16,208
DIA,baseline,validation,13,13,169
DIA,candidate,development,25,24,312
DIA,candidate,holdout,17,16,208
DIA,candidate,validation,13,12,156
DIS,baseline,development,22,21,273
DIS,baseline,holdout,10,9,117
DIS,baseline,validation,12,11,143
DIS,candidate,development,23,22,286
DIS,candidate,holdout,13,12,156
DIS,candidate,validation,13,12,156
GOOGL,baseline,development,22,21,273
GOOGL,baseline,holdout,14,14,182
GOOGL,baseline,validation,13,12,156
GOOGL,candidate,development,24,23,299
GOOGL,candidate,holdout,15,14,182
GOOGL,candidate,validation,14,13,169
HD,baseline,development,23,22,286
HD,baseline,holdout,13,13,169
HD,baseline,validation,13,12,156
HD,candidate,development,24,24,312
HD,candidate,holdout,16,15,195
HD,candidate,validation,14,13,169
IWM,baseline,development,22,21,273
IWM,baseline,holdout,14,13,169
IWM,baseline,validation,12,12,156
IWM,candidate,development,24,23,299
IWM,candidate,holdout,16,15,195
IWM,candidate,validation,14,13,169
JNJ,baseline,development,23,22,286
JNJ,baseline,holdout,15,15,195
JNJ,baseline,validation,12,11,143
JNJ,candidate,development,24,23,299
JNJ,candidate,holdout,15,15,195
JNJ,candidate,validation,14,13,169
JPM,baseline,development,21,20,260
JPM,baseline,holdout,15,15,195
JPM,baseline,validation,12,11,143
JPM,candidate,development,24,23,299
JPM,candidate,holdout,15,15,195
JPM,candidate,validation,13,12,156
KO,baseline,development,22,22,286
KO,baseline,holdout,16,15,195
KO,baseline,validation,13,12,156
KO,candidate,development,24,23,299
KO,candidate,holdout,17,16,208
KO,candidate,validation,13,12,156
LLY,baseline,development,23,22,286
LLY,baseline,holdout,16,15,195
LLY,baseline,validation,13,12,156
LLY,candidate,development,24,23,299
LLY,candidate,holdout,17,16,208
LLY,candidate,validation,14,13,169
MA,baseline,development,24,23,299
MA,baseline,holdout,16,15,195
MA,baseline,validation,14,13,169
MA,candidate,development,24,23,299
MA,candidate,holdout,17,16,208
MA,candidate,validation,13,13,169
META,baseline,development,13,12,156
META,baseline,holdout,13,13,169
META,baseline,validation,12,11,143
META,candidate,development,13,12,156
META,candidate,holdout,15,14,182
META,candidate,validation,13,12,156
MRK,baseline,development,22,21,273
MRK,baseline,holdout,13,12,156
MRK,baseline,validation,13,12,156
MRK,candidate,development,24,23,299
MRK,candidate,holdout,14,13,169
MRK,candidate,validation,14,13,169
MSFT,baseline,development,22,21,273
MSFT,baseline,holdout,15,14,182
MSFT,baseline,validation,14,13,169
MSFT,candidate,development,23,22,286
MSFT,candidate,holdout,17,16,208
MSFT,candidate,validation,14,13,169
NFLX,baseline,development,20,19,247
NFLX,baseline,holdout,14,14,182
NFLX,baseline,validation,12,11,143
NFLX,candidate,development,21,20,260
NFLX,candidate,holdout,14,13,169
NFLX,candidate,validation,14,13,169
NVDA,baseline,development,21,20,260
NVDA,baseline,holdout,15,14,182
NVDA,baseline,validation,12,11,143
NVDA,candidate,development,22,21,273
NVDA,candidate,holdout,16,15,195
NVDA,candidate,validation,13,12,156
PEP,baseline,development,24,23,299
PEP,baseline,holdout,13,12,156
PEP,baseline,validation,12,11,143
PEP,candidate,development,25,24,312
PEP,candidate,holdout,16,15,195
PEP,candidate,validation,13,12,156
PG,baseline,development,23,22,286
PG,baseline,holdout,13,13,169
PG,baseline,validation,13,12,156
PG,candidate,development,24,23,299
PG,candidate,holdout,15,15,195
PG,candidate,validation,13,12,156
QQQ,baseline,development,24,23,299
QQQ,baseline,holdout,15,14,182
QQQ,baseline,validation,14,13,169
QQQ,candidate,development,25,24,312
QQQ,candidate,holdout,16,15,195
QQQ,candidate,validation,13,12,156
TSLA,baseline,development,18,17,221
TSLA,baseline,holdout,14,13,169
TSLA,baseline,validation,10,9,117
TSLA,candidate,development,19,18,234
TSLA,candidate,holdout,15,14,182
TSLA,candidate,validation,13,12,156
UNH,baseline,development,24,23,299
UNH,baseline,holdout,14,14,182
UNH,baseline,validation,14,13,169
UNH,candidate,development,25,24,312
UNH,candidate,holdout,16,16,208
UNH,candidate,validation,13,12,156
V,baseline,development,24,23,299
V,baseline,holdout,16,15,195
V,baseline,validation,13,12,156
V,candidate,development,24,23,299
V,candidate,holdout,16,15,195
V,candidate,validation,14,13,169
VTI,baseline,development,24,23,299
VTI,baseline,holdout,15,14,182
VTI,baseline,validation,14,13,169
VTI,candidate,development,25,24,312
VTI,candidate,holdout,17,16,208
VTI,candidate,validation,13,12,156
WFC,baseline,development,21,20,260
WFC,baseline,holdout,15,14,182
WFC,baseline,validation,9,8,104
WFC,candidate,development,23,22,286
WFC,candidate,holdout,16,15,195
WFC,candidate,validation,12,11,143
XLB,baseline,development,22,21,273
XLB,baseline,holdout,13,12,156
XLB,baseline,validation,13,12,156
XLB,candidate,development,23,23,299
XLB,candidate,holdout,17,16,208
XLB,candidate,validation,14,13,169
XLE,baseline,development,18,17,221
XLE,baseline,holdout,16,15,195
XLE,baseline,validation,8,7,91
XLE,candidate,development,22,22,286
XLE,candidate,holdout,17,16,208
XLE,candidate,validation,13,12,156
XLF,baseline,development,21,20,260
XLF,baseline,holdout,16,15,195
XLF,baseline,validation,11,10,130
XLF,candidate,development,24,23,299
XLF,candidate,holdout,17,16,208
XLF,candidate,validation,13,12,156
XLI,baseline,development,23,23,299
XLI,baseline,holdout,17,16,208
XLI,baseline,validation,13,13,169
XLI,candidate,development,24,24,312
XLI,candidate,holdout,17,16,208
XLI,candidate,validation,13,13,169
XLK,baseline,development,24,23,299
XLK,baseline,holdout,16,15,195
XLK,baseline,validation,14,13,169
XLK,candidate,development,25,24,312
XLK,candidate,holdout,17,16,208
XLK,candidate,validation,13,12,156
XLP,baseline,development,24,24,312
XLP,baseline,holdout,16,15,195
XLP,baseline,validation,13,12,156
XLP,candidate,development,25,24,312
XLP,candidate,holdout,17,16,208
XLP,candidate,validation,13,12,156
XLU,baseline,development,24,23,299
XLU,baseline,holdout,16,15,195
XLU,baseline,validation,11,10,130
XLU,candidate,development,25,24,312
XLU,candidate,holdout,17,16,208
XLU,candidate,validation,13,12,156
XOM,baseline,development,19,18,234
XOM,baseline,holdout,15,14,182
XOM,baseline,validation,8,7,91
XOM,candidate,development,23,22,286
XOM,candidate,holdout,17,16,208
XOM,candidate,validation,11,10,130
XRT,baseline,development,23,22,286
XRT,baseline,holdout,14,13,169
XRT,baseline,validation,10,9,117
XRT,candidate,development,24,23,299
XRT,candidate,holdout,14,13,169
XRT,candidate,validation,13,12,156
