rule,split,horizon_weeks,count,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_5bps,win_rate_net_5bps,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,group
candidate,development,13,10833,4.2541757938204,3.6764266845528137,12.783194859165954,0.6743284408751038,4.2541757938204,0.6743284408751038,2.8937197071671616,4.1499737190639685,0.6695282931782517,4.045875742284306,0.666112803470876,3.7342048422302843,0.6516200498476876,baseline_and_candidate
baseline,development,13,10833,4.2541757938204,3.6764266845528137,12.783194859165954,0.6743284408751038,4.2541757938204,0.6743284408751038,2.8937197071671616,4.1499737190639685,0.6695282931782517,4.045875742284306,0.666112803470876,3.7342048422302843,0.6516200498476876,baseline_and_candidate
candidate,development,13,1435,6.444086897915987,6.274997044997699,13.557666751758736,0.7337979094076655,6.444086897915987,0.7337979094076655,4.717680223604195,6.33769600646381,0.729616724738676,6.231411399618465,0.7261324041811846,5.913193696430133,0.7198606271777004,candidate_only
baseline,development,13,182,7.336610592259357,4.083712928134508,20.496246421483434,0.6923076923076923,7.336610592259357,0.6923076923076923,2.7722389075055283,7.229327623151664,0.6758241758241759,7.122151829837272,0.6703296703296703,6.801265901026156,0.6648351648351648,baseline_only
candidate,validation,13,5919,4.734276105424862,4.624292122366858,14.773109575816505,0.6827166751140396,4.734276105424862,0.6827166751140396,2.6059044151725463,4.629594170287018,0.6789998310525427,4.525016812506942,0.6756208819057273,4.2119106385649,0.6637945598918736,baseline_and_candidate
baseline,validation,13,5919,4.734276105424862,4.624292122366858,14.773109575816505,0.6827166751140396,4.734276105424862,0.6827166751140396,2.6059044151725463,4.629594170287018,0.6789998310525427,4.525016812506942,0.6756208819057273,4.2119106385649,0.6637945598918736,baseline_and_candidate
candidate,validation,13,853,6.247564655785858,6.391190958466275,13.271297974599642,0.7116060961313013,6.247564655785858,0.7116060961313013,6.476449995019847,6.141370188363794,0.7104337631887456,6.035281809320763,0.7104337631887456,5.7176516151086325,0.7010550996483002,candidate_only
baseline,validation,13,129,5.52225679015994,5.245052211598389,13.427762678275474,0.7364341085271318,5.52225679015994,0.7364341085271318,3.5529064088490583,5.416787268130804,0.7364341085271318,5.311423110259532,0.7364341085271318,4.9959612450718724,0.7364341085271318,baseline_only
candidate,holdout,13,6966,4.213740335468313,3.2535163136331535,13.329916706531325,0.62977318403675,4.213740335468313,0.62977318403675,3.8985541186986903,4.109578675962609,0.626902095894344,4.005521074058798,0.622595463680735,3.6939710569871855,0.6099626758541488,baseline_and_candidate
baseline,holdout,13,6966,4.213740335468313,3.2535163136331535,13.329916706531325,0.62977318403675,4.213740335468313,0.62977318403675,3.8985541186986903,4.109578675962609,0.626902095894344,4.005521074058798,0.622595463680735,3.6939710569871855,0.6099626758541488,baseline_and_candidate
candidate,holdout,13,984,4.449185206764472,3.910246849149046,15.462536222388573,0.641260162601626,4.449185206764472,0.641260162601626,3.6763979991535396,4.344788220051077,0.6402439024390244,4.2404955260316886,0.6371951219512195,3.928241639648451,0.6229674796747967,candidate_only
baseline,holdout,13,238,6.295755541809302,4.369473709658966,14.017728815202604,0.6848739495798319,6.295755541809302,0.6848739495798319,4.901095261716946,6.189512907584617,0.6848739495798319,6.083376409857647,0.6764705882352942,5.765602147585826,0.6638655462184874,baseline_only
candidate,development,26,10372,8.872348693678488,7.26445987051223,21.150502456685274,0.7525067489394524,8.872348693678488,0.7525067489394524,5.940435109181577,8.763530753954683,0.7497107597377555,8.65482152346136,0.747686077902044,8.32934446079232,0.7392016968762052,baseline_and_candidate
baseline,development,26,10372,8.872348693678488,7.26445987051223,21.150502456685274,0.7525067489394524,8.872348693678488,0.7525067489394524,5.940435109181577,8.763530753954683,0.7497107597377555,8.65482152346136,0.747686077902044,8.32934446079232,0.7392016968762052,baseline_and_candidate
candidate,development,26,1396,11.43245266685929,11.091243085521874,17.65224310754054,0.7851002865329513,11.43245266685929,0.7851002865329513,9.316422357969143,11.321075902574586,0.7815186246418339,11.209810403788657,0.7808022922636103,10.876679835603147,0.7757879656160458,candidate_only
baseline,development,26,174,12.908663310182412,9.087443012401708,29.752486190888114,0.7011494252873564,12.908663310182412,0.7011494252873564,4.3624029026382685,12.795811072990839,0.7011494252873564,12.683071575296948,0.7011494252873564,12.345527832326157,0.6954022988505747,baseline_only
candidate,validation,26,5520,9.698255932755057,7.881706748990302,24.117822967457016,0.7050724637681159,9.698255932755057,0.7050724637681159,5.653698600605744,9.588612498539423,0.7038043478260869,9.47907859822409,0.7027173913043478,9.151132461768759,0.6931159420289855,baseline_and_candidate
