family,provider,symbol,as_of_date,endpoint_pattern,http_status,error_classification,retry_count,request_timestamp_utc
daily_market_data,massive/polygon,AAPL,,v2/aggs/ticker/{ticker}/range/1/day/{start}/{end},403,entitlement,0,2026-08-12T23:43:33.004202Z
daily_market_data,alpaca,AAPL,,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T23:43:33.404740Z
daily_market_data,alpaca,AAPL,,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T23:43:35.385368Z
daily_market_data,massive/polygon,AAPL,,/v3/reference/splits?ticker={ticker},200,none,0,2026-08-12T23:43:35.578350Z
daily_market_data,massive/polygon,AAPL,,/v3/reference/dividends?ticker={ticker},200,none,0,2026-08-12T23:43:47.738738Z
security_master_and_corporate_actions,massive,AAPL,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:43:47.941005Z
security_master_and_corporate_actions,massive,AAPL,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=False,200,none,0,2026-08-12T23:44:00.073897Z
security_master_and_corporate_actions,massive,AAPL,2018-06-29,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:44:12.173827Z
security_master_and_corporate_actions,massive,GOOGL,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:44:24.241938Z
security_master_and_corporate_actions,massive,GOOGL,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=False,200,none,0,2026-08-12T23:44:36.383158Z
security_master_and_corporate_actions,massive,GOOGL,2018-06-29,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:44:48.443983Z
security_master_and_corporate_actions,massive,FDX,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:45:00.595571Z
security_master_and_corporate_actions,massive,FB,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:45:12.681622Z
security_master_and_corporate_actions,massive,FB,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=False,200,none,0,2026-08-12T23:45:24.769702Z
security_master_and_corporate_actions,massive,FB,2018-06-29,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:45:36.903746Z
security_master_and_corporate_actions,massive,PYPL,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:45:48.942726Z
security_master_and_corporate_actions,massive,PYPL,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=False,200,none,0,2026-08-12T23:46:01.075408Z
security_master_and_corporate_actions,massive,PYPL,2018-06-29,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:46:13.183844Z
security_master_and_corporate_actions,massive,YHOO,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:46:25.252028Z
security_master_and_corporate_actions,massive,YHOO,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=False,200,none,0,2026-08-12T23:46:37.392103Z
security_master_and_corporate_actions,massive,YHOO,2017-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:46:49.448027Z
security_master_and_corporate_actions,massive,SPY,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:47:01.587136Z
security_master_and_corporate_actions,massive,PFF,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:47:13.641737Z
security_master_and_corporate_actions,massive,IGR,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:47:25.783301Z
security_master_and_corporate_actions,massive,IPOD,2020-09-30,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:47:37.910932Z
security_master_and_corporate_actions,massive,IPOD,2020-09-30,/v3/reference/tickers?ticker={ticker}&date={date}&active=False,200,none,0,2026-08-12T23:47:49.975623Z
security_master_and_corporate_actions,massive,IPOD,2020-12-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:48:02.043576Z
security_master_and_corporate_actions,massive,TWX,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:48:14.195813Z
security_master_and_corporate_actions,massive,SIRI,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:48:26.281564Z
security_master_and_corporate_actions,massive,SIRI,2016-03-31,/v3/reference/tickers?ticker={ticker}&date={date}&active=False,200,none,0,2026-08-12T23:48:38.383363Z
security_master_and_corporate_actions,massive,SIRI,2018-06-29,/v3/reference/tickers?ticker={ticker}&date={date}&active=True,200,none,0,2026-08-12T23:48:50.485086Z
security_master_and_corporate_actions,massive,AAPL,,/v3/reference/splits?ticker={ticker},200,none,0,2026-08-12T23:49:02.535784Z
security_master_and_corporate_actions,massive,AAPL,,/v3/reference/dividends?ticker={ticker},200,none,0,2026-08-12T23:49:14.699552Z
security_master_and_corporate_actions,massive,GOOGL,,/v3/reference/splits?ticker={ticker},200,none,0,2026-08-12T23:49:26.735670Z
security_master_and_corporate_actions,massive,GOOGL,,/v3/reference/dividends?ticker={ticker},200,none,0,2026-08-12T23:49:38.869977Z
issuer_fundamentals_and_shares,sec_edgar,AAPL,,submissions/CIK{cik}.json,200,none,0,2026-08-12T23:49:38.987448Z
issuer_fundamentals_and_shares,sec_edgar,AAPL,,api/xbrl/companyfacts/CIK{cik}.json,200,none,0,2026-08-12T23:49:39.210108Z
issuer_fundamentals_and_shares,sec_edgar,GOOGL,,submissions/CIK{cik}.json,200,none,0,2026-08-12T23:49:39.266548Z
issuer_fundamentals_and_shares,sec_edgar,GOOGL,,api/xbrl/companyfacts/CIK{cik}.json,200,none,0,2026-08-12T23:49:39.423857Z
issuer_fundamentals_and_shares,sec_edgar,FDX,,submissions/CIK{cik}.json,200,none,0,2026-08-12T23:49:39.521799Z
issuer_fundamentals_and_shares,sec_edgar,FDX,,api/xbrl/companyfacts/CIK{cik}.json,200,none,0,2026-08-12T23:49:39.751605Z
