ticker,data_source,sha256,manifest_rows,validated_rows,data_start,data_end,duplicate_timestamps,missing_required_values,invalid_ohlc_rows,bars_outside_range,complete_lookbacks,complete_forward_bars,eligible_observations_per_split,split_event_counts,warnings
AAPL,schwab,1345e7515b9c7884c0727ec1472a6ff19a9d642b27d83603e3877011a4779ab7,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 5, 'holdout': 2, 'validation': 0}",[]
MSFT,schwab,b1e064e21a89ecede4c8e07049a3862debfc033517b332cb217d4cef23640e8e,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 4, 'holdout': 2, 'validation': 0}",[]
NVDA,schwab,185121b8b513bafba66ac0b57fa2cefd2fdc89a2daa7e1e37ad5ce89ce1d6ae8,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 20, 'holdout': 17, 'validation': 18}",[]
GOOGL,schwab,af2189b71d61fc831319950a70d74846ba375ab0d13730a73a8520d57d1b1c81,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 5, 'holdout': 0, 'validation': 2}",[]
AMZN,schwab,018938b2f7252cf1f02e2b105424e87c3f6cdbff3ee6a6de25dab640e8c209d2,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 5, 'holdout': 3, 'validation': 9}",[]
META,schwab,729e74185e693bdfe7f15f5c9f1bcd215cba11163beb2a4faf818860c5521d35,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 7, 'holdout': 7, 'validation': 13}",[]
TSLA,schwab,e7402b935918ffc49306ab99700cbd09762aa10c9813ec536e71a7d9156faf8c,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 47, 'holdout': 22, 'validation': 28}",[]
AVGO,schwab,8bb95d486ad3b876516ca85ccf1e6eec6f0854807a9f01569c710067237261d2,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 7, 'holdout': 19, 'validation': 3}",[]
ORCL,schwab,5ed6491c4be1e40db708952ffab7b4f8d067ecf790a6a596bf25e678f08f9d9c,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 4, 'holdout': 18, 'validation': 2}",[]
AMD,schwab,9f983912853ff1b2eda93078647fd573a4034ee1ddf3c2567ee728d24d94a46d,2156,2156,2018-01-02T06:00:00+00:00,2026-07-31T05:00:00+00:00,0,0,0,0,2147,2151,"{'development': 0, 'holdout': 1210, 'validation': 918}","{'development': 32, 'holdout': 18, 'validation': 23}",[]
