ticker,split,event_type,observations,qualifying_signals,executed_trades,mean_gross_return_pct,mean_net_return_pct,executable_mean_net_return_pct,executable_win_rate,mean_baseline_return_pct,lift_bps,win_rate
AAPL,holdout,runup,605,10,8,1.820960,1.617510,1.540425,0.500000,0.081740,153.577000,0.600000
ABBV,holdout,runup,605,4,4,-1.986075,-2.181925,-2.181925,0.500000,-0.713525,-146.840000,0.500000
AMD,holdout,runup,605,7,6,1.688586,1.485429,1.146750,0.666667,-2.792114,427.754300,0.714286
AMZN,holdout,runup,605,7,7,2.221357,2.017143,2.017143,0.571429,2.515443,-49.830000,0.571429
ARKK,holdout,runup,605,2,2,5.746450,5.535150,5.535150,0.500000,3.345600,218.955000,0.500000
ARM,holdout,runup,605,4,4,-2.681975,-2.876400,-2.876400,0.250000,-6.673475,379.707500,0.250000
AVGO,holdout,runup,605,12,7,-2.684183,-2.878625,-2.500871,0.428571,1.169358,-404.798300,0.333333
BAC,holdout,runup,605,3,2,-3.864600,-4.056667,-3.969400,0.000000,-1.187467,-286.920000,0.000000
BLK,holdout,runup,605,3,3,1.347967,1.145467,1.145467,0.666667,-4.816767,596.223400,0.666667
C,holdout,runup,605,4,4,2.702900,2.497700,2.497700,0.500000,-0.677575,317.527500,0.500000
CAT,holdout,runup,605,5,5,1.388380,1.185820,1.185820,0.600000,1.339920,-15.410000,0.600000
COP,holdout,runup,605,3,3,-4.679433,-4.869867,-4.869867,0.000000,0.525067,-539.493400,0.000000
CRWD,holdout,runup,605,6,5,-0.853383,-1.051467,-2.097880,0.400000,1.019017,-207.048400,0.500000
CVX,holdout,runup,605,6,5,-0.690917,-0.889333,-1.069420,0.600000,0.401667,-129.100000,0.666667
DDOG,holdout,runup,605,8,6,-2.810612,-3.004812,-3.022200,0.333333,0.590375,-359.518700,0.250000
DE,holdout,runup,605,4,3,-1.234150,-1.431500,-1.410033,0.333333,-1.801625,37.012500,0.250000
GOOGL,holdout,runup,605,5,5,-0.496500,-0.695320,-0.695320,0.600000,1.705740,-240.106000,0.600000
GS,holdout,runup,605,3,3,-1.011067,-1.208867,-1.208867,0.333333,2.486500,-369.536700,0.333333
JNJ,holdout,runup,605,4,4,3.485175,3.278400,3.278400,1.000000,0.553875,272.452500,1.000000
JPM,holdout,runup,605,6,5,1.076633,0.874667,1.094400,0.600000,-0.561050,143.571700,0.500000
LLY,holdout,runup,605,6,5,-1.915717,-2.111683,-2.469220,0.200000,1.293667,-340.535000,0.166667
META,holdout,runup,605,6,5,3.888667,3.681083,3.564180,0.600000,0.019267,366.181600,0.666667
MRK,holdout,runup,605,6,6,-1.145183,-1.342700,-1.342700,0.166667,-1.947367,60.466700,0.166667
MS,holdout,runup,605,1,1,3.798800,3.591400,3.591400,1.000000,-1.976100,556.750000,1.000000
MSFT,holdout,runup,605,8,6,-4.263937,-4.455225,-4.013350,0.166667,-1.860250,-259.497500,0.125000
MSTR,holdout,runup,605,7,6,11.223143,11.000929,15.149033,0.666667,3.860114,714.081500,0.571429
MU,holdout,runup,605,13,9,2.509469,2.304646,0.588211,0.666667,-0.392208,269.685400,0.692308
NET,holdout,runup,605,5,5,-5.689060,-5.877520,-5.877520,0.200000,-7.389180,151.166000,0.200000
NVDA,holdout,runup,605,6,6,-2.077583,-2.273200,-2.273200,0.333333,-3.489033,121.583300,0.333333
ORCL,holdout,runup,605,4,4,-0.445125,-0.644025,-0.644025,0.250000,-2.745725,210.170000,0.250000
PFE,holdout,runup,605,3,3,-0.440300,-0.639233,-0.639233,0.333333,0.084900,-72.413300,0.333333
PLTR,holdout,runup,605,5,4,4.169520,3.961400,2.228600,0.750000,2.499920,146.148000,0.800000
QQQ,holdout,runup,605,5,5,-0.187220,-0.386680,-0.386680,0.400000,1.558960,-194.564000,0.400000
SCHW,holdout,runup,605,4,4,-0.859900,-1.057975,-1.057975,0.500000,0.372175,-143.015000,0.500000
SMCI,holdout,runup,605,3,3,3.234967,3.028667,3.028667,0.666667,16.224300,-1319.563300,0.666667
SNOW,holdout,runup,605,5,4,-8.278700,-8.461940,-6.899350,0.250000,-0.723480,-773.846000,0.200000
SOXL,holdout,runup,605,7,7,5.504357,5.293557,5.293557,0.714286,9.300314,-400.675700,0.714286
SPY,holdout,runup,605,3,2,3.555633,3.348700,3.772650,1.000000,-0.711133,405.983300,1.000000
TMO,holdout,runup,605,9,8,0.153233,-0.046878,-0.451087,0.500000,-0.514244,46.736600,0.555556
TQQQ,holdout,runup,605,5,4,1.025620,0.823780,-1.280275,0.500000,5.891980,-506.820000,0.600000
TSLA,holdout,runup,605,3,3,2.843033,2.637567,2.637567,1.000000,-2.477567,511.513400,1.000000
UNH,holdout,runup,605,4,4,2.956025,2.750325,2.750325,0.500000,-5.891375,864.170000,0.500000
WFC,holdout,runup,605,4,4,3.216000,3.009800,3.009800,0.750000,-0.225575,323.537500,0.750000
XOM,holdout,runup,605,6,4,1.901333,1.697750,1.098675,0.500000,-2.884533,458.228300,0.500000
AAPL,holdout,decline,605,56,21,-2.222346,-2.426988,-3.703110,0.190476,-1.279870,-114.711800,0.267857
ABBV,holdout,decline,605,51,18,-1.940245,-2.144331,-1.178567,0.555556,-1.401635,-74.269600,0.372549
AMD,holdout,decline,605,45,17,0.281196,0.081553,0.000259,0.470588,0.492171,-41.061800,0.422222
AMZN,holdout,decline,605,48,21,-0.426531,-0.627585,-1.220752,0.380952,0.383254,-101.083900,0.479167
ARKK,holdout,decline,605,55,21,0.005729,-0.194458,-1.404900,0.476190,-0.316967,12.250900,0.490909
ARM,holdout,decline,605,47,16,-0.282002,-0.482772,0.184787,0.562500,-0.654253,17.148100,0.574468
AVGO,holdout,decline,605,47,18,-2.994377,-3.200579,-2.980228,0.333333,-1.001451,-219.912800,0.319149
