ticker,data_source,sha256,manifest_rows,validated_rows,data_start,data_end,duplicate_timestamps,missing_required_values,invalid_ohlc_rows,complete_1_bar_outcomes,complete_3_bar_outcomes,complete_5_bar_outcomes,warnings
AAPL,schwab,a6ece596957849348abaff49baace0c406cd4be9c5db2056db90a76498ab8d90,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
MSFT,schwab,a99c1d58bd9e7e48be479c95cc22878bc00ad9ad3a3b8d242cb31f99e38a8781,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
NVDA,schwab,b388c737906db743f0f1d917033fffc7ab66874af2e62c226b1e2b9fd1e13266,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
GOOGL,schwab,4a2f6bc515129d5ff3ff3e7c2f8d9f808d94184ff65153f7507d7207c8c41b81,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
META,schwab,674c975ae53cb034436f423b6f35a73513f63235ca48d903970dfeb024bd9f0d,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
VZ,schwab,bac5b6d4d9acb033caafd2470bf4963fa1c6e019e6be38754c6f084fc900525e,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
AMZN,schwab,f55b22a8efe45fdeb2f01c22949cd8c75e4c99d79f8a929423dc5c546161151d,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
HD,schwab,f57d91e777f965ecd72457e5ce807fc635fe1bf4d53f7e929b3e2c8315a9c711,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
MCD,schwab,228683e708cf16ff09500bf8383141210ea2c05da89e8d69b1a04b30008a0fba,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
WMT,schwab,b37e9e908a1b7ce7078e1b490dc634b25070da81dc0730f01cbce4b8d5aa2b82,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
COST,schwab,35630f0af607034ccdda0a80e3842851bb1904eaf0af93f40901175b3eb22062,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
PG,schwab,1092bc70a93968c85abed55a3de7081031460b975b2fe92571cd014b3677fa03,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
JPM,schwab,3f4f111a5e8c07157f425acaac6f765ff109e46c26b0b485210704fa02e13eb9,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
BAC,schwab,8129d0dc41c034d3857149afd0904df21cc1454c6563a918feadbe48ad3fbf4b,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
GS,schwab,20190bb738b24535c9bd330b8c96444fd1a5f1c329ce05814f199ccd47c5d21a,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
JNJ,schwab,99364d14da535fa8ad22c28ebfdcd8aeffba5188ebcd8f4babd4ff5d8834881c,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
UNH,schwab,1dad1dfaa41c892167548225611dccf077b8154f0d0ca39f75edd849c9566ec6,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
MRK,schwab,efe0a595f488ccd68f83c843fdc0e317133687a392fbf72202a5ff6719c6ce45,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
CAT,schwab,380e14a9e9cf075b92f1f36e1a05930868c82e9614fd6cbb888b7803aac42754,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
HON,schwab,b1d444ad7bf0dd55dad63dd04ad3aedacc178dba1cd014cbb9f0440527ea6d3c,1819,1819,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1754,1748,1742,[]
UPS,schwab,ab730aab3b599b59351c9e81dd640ffa79a77d5dc5cd790159ccf1e7c5faed2d,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
XOM,schwab,87c86009e1be1bc2161046f638b31c7122542e2c17ae3adadd0d6c7722aadb40,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
CVX,schwab,6a9753068d800fdd2ff03234ba8035b2e60bdc7970c3e7602e98dae318809ec5,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
COP,schwab,109a967f61b7ac9bbad71c8118da45edd361247fb31f37edb1598bb396d07226,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
NEE,schwab,2fff50e9048920199e7210633726fc164eb8eb19d955a9be934e6b764cc06148,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
DUK,schwab,a6175c4f15d1d3514b17b9abebdd2bef5f3e0a2ac994376e612952dd9963e890,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
SO,schwab,b77af375d4f0885e18bf2d55736b24ae79e56d19afdb20f83fc73509c2538874,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
LIN,schwab,3c972dd67e196d4c023daebe4705abd6deca9a962ff04312f3b2dbb424cb2451,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
APD,schwab,07c6b80ee734bd3477e0bbf288aafd55c0f82c30f37362872e14579a8c667c79,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
NEM,schwab,28f5642a8e3f418c362fc0e0f902a885416938bfdaa6b82994cbf39bd2a00d4f,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
AMT,schwab,da3ed427d4e868c8ee9f17e82667a2a284557f8e02944b3045ef348bd1bc854d,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
PLD,schwab,afa1d5a988b5271abde49dc5568a64451d737cd8eda1a54f3468f836267e4a1c,1822,1822,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1756,1750,1744,[]
SPG,schwab,a6b4f8b4c7a0f36c04d0dcdfecce1d2d52d0f8da2594f2701a55c0af1d73b038,1823,1823,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,0,0,1757,1751,1745,[]
