ticker,total_trades_baseline,expectancy_pct_baseline,total_return_pct_baseline,profit_factor_baseline,max_drawdown_pct_baseline,sharpe_ratio_baseline,total_trades_candidate,expectancy_pct_candidate,total_return_pct_candidate,profit_factor_candidate,max_drawdown_pct_candidate,sharpe_ratio_candidate
AAPL,93,-0.2486776212,-23.39347139,0.7514361582,-31.52656606,-0.7167197317,,,,,,
AMT,74,-0.03813077583,-5.294803595,0.9365516446,-20.83317184,-0.1080180972,,,,,,
AMZN,107,-0.06624818102,-10.58252388,0.9149948823,-30.05755244,-0.1533660777,,,,,,
APD,81,-0.2660685758,-21.25353809,0.7449833522,-27.58528972,-0.8400865579,,,,,,
BAC,120,0.1203411535,12.47380906,1.118739358,-16.93483804,0.4483047288,,,,,,
CAT,112,0.0002170156344,-4.405120176,0.9626248832,-41.10030805,0.00370678492,,,,,,
COP,64,-0.8303367966,-42.49737084,0.4451016412,-45.83034121,-1.822060051,,,,,,
COST,91,0.1124147127,8.529152762,1.104146403,-18.05683266,0.3531361797,,,,,,
CVX,90,-0.3607748712,-29.22143242,0.6276486313,-30.56117586,-1.191847012,,,,,,
DUK,100,-0.008531626896,-2.263467377,0.9663144937,-12.65577054,-0.0349870009,,,,,,
GOOGL,118,0.5180088572,75.02480976,1.573835177,-18.87067789,1.309230937,,,,,,
GS,134,0.2080116851,27.91979494,1.231671548,-11.38257279,0.7552910862,,,,,,
HD,85,0.02023982796,-0.3469145397,0.995324365,-17.19585718,0.05511570114,,,,,,
HON,80,-0.3767628202,-27.38368723,0.600608276,-27.38368723,-1.171402383,,,,,,
JNJ,95,0.1573725452,14.58274092,1.26087568,-11.97033827,0.612827705,,,,,,
JPM,130,0.1911020688,24.54710978,1.223081117,-10.54386809,0.7421872385,,,,,,
LIN,93,-0.04535688162,-5.127650826,0.9102859955,-19.3531752,-0.1990066216,,,,,,
MCD,87,-0.23504733,-20.00561559,0.7100601365,-22.51232169,-0.7267271196,,,,,,
META,105,-0.1008010336,-13.75975311,0.8939403503,-34.18838316,-0.2316595522,,,,,,
MRK,73,-0.2780033046,-20.54879684,0.7355010883,-38.75409426,-0.6718929517,,,,,,
MSFT,85,0.1284080147,9.137211198,1.129529655,-18.12159777,0.3668349578,,,,,,
NEE,87,0.01578101919,-1.315672714,0.9854022569,-24.39374363,0.05608205549,,,,,,
NEM,122,0.6668137174,110.2321741,1.582400856,-16.18931624,1.510277193,,,,,,
NVDA,112,0.4437876842,46.11242422,1.157082241,-44.8074201,0.7576895524,,,,,,
PG,81,-0.1771018637,-14.21255101,0.7425435254,-20.55301105,-0.6284323424,,,,,,
PLD,93,-0.1521211758,-15.05366116,0.8026840063,-24.37966968,-0.4685209001,,,,,,
SO,101,0.08313636383,6.947125783,1.090808599,-16.26576197,0.317520236,,,,,,
SPG,114,-0.117547953,-14.38091992,0.8268146079,-23.22992299,-0.3936768243,,,,,,
UNH,72,-0.4358960822,-29.54114086,0.660226807,-32.72782376,-0.9494987224,,,,,,
UPS,59,-0.9048904755,-43.29233003,0.3787002781,-48.73803811,-1.574982259,,,,,,
VZ,92,-0.1726725187,-16.9054493,0.8142686889,-29.80149198,-0.5194825769,,,,,,
WMT,128,0.3196360377,46.28841602,1.409834028,-14.19172621,1.253006988,,,,,,
XOM,96,-0.2381862107,-21.97657872,0.7122757785,-33.05765863,-0.7895408965,,,,,,
