datetime,open,high,low,close,volume
2018-10-01T05:00:00+0000,29.68,29.94,29.54,29.65,53900922.0
2018-10-02T05:00:00+0000,29.58,29.72,29.2705,29.58,42940345.0
2018-10-03T05:00:00+0000,29.81,30.175,29.72,30.0,61080338.0
2018-10-04T05:00:00+0000,30.17,30.79,30.14,30.43,72325733.0
2018-10-05T05:00:00+0000,30.6,30.65,30.05,30.23,51930971.0
2018-10-08T05:00:00+0000,30.05,30.42,29.91,30.27,47471601.0
2018-10-09T05:00:00+0000,30.03,30.19,29.87,29.98,58868611.0
2018-10-10T05:00:00+0000,29.98,30.13,29.21,29.24,88454393.0
2018-10-11T05:00:00+0000,28.89,29.25,28.26,28.36,111417275.0
2018-10-12T05:00:00+0000,28.99,29.04,27.73,28.46,102279154.0
2018-10-15T05:00:00+0000,28.49,28.62,27.64,27.92,114636134.0
2018-10-16T05:00:00+0000,28.24,28.58,27.9,28.53,87887771.0
2018-10-17T05:00:00+0000,28.37,29.19,28.16,28.9,79068716.0
2018-10-18T05:00:00+0000,28.67,28.9,28.14,28.25,77369189.0
2018-10-19T05:00:00+0000,28.14,28.52,27.97,28.32,64305353.0
2018-10-22T05:00:00+0000,28.32,28.35,27.31,27.38,89942875.0
2018-10-23T05:00:00+0000,26.39,27.2,26.105,27.02,102392522.0
2018-10-24T05:00:00+0000,26.86,26.9,26.08,26.19,86386606.0
2018-10-25T05:00:00+0000,26.38,26.93,26.18,26.59,73780443.0
2018-10-26T05:00:00+0000,26.33,26.58,25.88,26.39,91103496.0
2018-10-29T05:00:00+0000,26.69,27.18,26.29,26.61,89366976.0
2018-10-30T05:00:00+0000,26.76,26.86,26.32,26.78,79004847.0
2018-10-31T05:00:00+0000,27.1,27.88,27.06,27.5,92296258.0
2018-11-01T05:00:00+0000,27.77,28.0,27.61,27.81,49827340.0
2018-11-02T05:00:00+0000,28.01,28.38,27.52,27.89,69005053.0
2018-11-05T06:00:00+0000,27.95,28.24,27.89,28.06,41103070.0
2018-11-06T06:00:00+0000,28.02,28.245,27.74,28.21,43514383.0
2018-11-07T06:00:00+0000,28.415,28.67,28.14,28.54,56679198.0
2018-11-08T06:00:00+0000,28.5,29.12,28.43,28.87,49421212.0
2018-11-09T06:00:00+0000,28.75,28.89,28.384,28.52,43270614.0
2018-11-12T06:00:00+0000,28.38,28.52,27.64,27.75,50307471.0
2018-11-13T06:00:00+0000,27.75,28.14,27.69,27.76,57423447.0
2018-11-14T06:00:00+0000,27.95,28.1,26.78,27.21,69213341.0
2018-11-15T06:00:00+0000,27.14,27.97,26.88,27.9,66174810.0
2018-11-16T06:00:00+0000,27.69,27.89,27.42,27.75,52456146.0
2018-11-19T06:00:00+0000,27.78,28.02,27.54,27.75,45999950.0
2018-11-20T06:00:00+0000,27.42,27.57,26.97,27.38,92330608.0
2018-11-21T06:00:00+0000,27.59,27.76,27.25,27.27,40364427.0
2018-11-23T06:00:00+0000,27.08,27.17,26.88,26.97,22974139.0
2018-11-26T06:00:00+0000,27.18,27.73,27.1,27.56,53210681.0
2018-11-27T06:00:00+0000,27.43,27.9,27.39,27.74,43617082.0
2018-11-28T06:00:00+0000,27.88,28.47,27.56,28.43,61388131.0
2018-11-29T06:00:00+0000,28.18,28.35,27.97,28.04,46824634.0
2018-11-30T06:00:00+0000,27.94,28.63,27.87,28.4,64284619.0
2018-12-03T06:00:00+0000,28.99,29.035,28.355,28.54,59905121.0
2018-12-04T06:00:00+0000,28.32,28.32,26.73,26.99,103565701.0
2018-12-06T06:00:00+0000,26.23,26.32,25.5321,26.28,133294174.0
2018-12-07T06:00:00+0000,26.15,26.54,25.3,25.43,107477614.0
2018-12-10T06:00:00+0000,25.18,25.23,24.29,24.76,110166901.0
2018-12-11T06:00:00+0000,25.21,25.4,24.53,24.58,78545015.0
2018-12-12T06:00:00+0000,24.87,24.99,24.37,24.52,87191846.0
2018-12-13T06:00:00+0000,24.66,24.82,24.28,24.4,64860054.0
2018-12-14T06:00:00+0000,24.18,24.87,24.12,24.48,92762595.0
2018-12-17T06:00:00+0000,24.26,24.93,24.16,24.47,98602808.0
2018-12-18T06:00:00+0000,24.67,25.09,24.3118,24.47,89046306.0
2018-12-19T06:00:00+0000,24.45,25.24,24.07,24.18,121887605.0
2018-12-20T06:00:00+0000,23.85,24.425,23.76,24.11,112594029.0
2018-12-21T06:00:00+0000,23.91,24.51,23.26,23.37,160800440.0
