datetime,open,high,low,close,volume
2018-10-01T05:00:00+0000,153.61,154.5,151.68,152.28,3736284.0
2018-10-02T05:00:00+0000,152.29,155.38,151.5,154.82,4344097.0
2018-10-03T05:00:00+0000,156.0,159.37,155.79,158.22,6043291.0
2018-10-04T05:00:00+0000,158.03,158.55,155.2,156.75,4131227.0
2018-10-05T05:00:00+0000,156.51,156.81,151.61,153.31,4955295.0
2018-10-08T05:00:00+0000,151.95,153.66,150.88,153.35,3463192.0
2018-10-09T05:00:00+0000,152.61,152.61,149.08,149.46,4996917.0
2018-10-10T05:00:00+0000,148.7,149.17,143.72,143.72,9419313.0
2018-10-11T05:00:00+0000,142.95,145.89,139.84,140.97,7608339.0
2018-10-12T05:00:00+0000,144.02,144.4,139.75,142.07,5596170.0
2018-10-15T05:00:00+0000,142.0,143.18,141.12,141.8,3741818.0
2018-10-16T05:00:00+0000,143.35,143.89,141.27,143.71,3573370.0
2018-10-17T05:00:00+0000,143.08,143.52,141.11,141.34,4807454.0
2018-10-18T05:00:00+0000,140.16,140.8,134.47,135.8,10250176.0
2018-10-19T05:00:00+0000,136.19,136.93,131.27,131.32,7055078.0
2018-10-22T05:00:00+0000,132.68,133.13,128.66,128.71,7858871.0
2018-10-23T05:00:00+0000,119.68,122.5,115.6201,118.98,24113349.0
2018-10-24T05:00:00+0000,120.0,121.64,112.25,112.34,15304186.0
2018-10-25T05:00:00+0000,114.83,117.09,112.5,115.63,13568902.0
2018-10-26T05:00:00+0000,114.1,116.43,112.3648,115.05,10820432.0
2018-10-29T05:00:00+0000,116.88,118.35,112.06,113.98,8069615.0
2018-10-30T05:00:00+0000,114.0,117.74,113.1,117.46,8057620.0
2018-10-31T05:00:00+0000,119.41,122.885,119.26,121.32,10341317.0
2018-11-01T05:00:00+0000,122.59,125.23,120.94,124.7,10138880.0
2018-11-02T05:00:00+0000,127.05,128.3005,124.26,125.79,7682619.0
2018-11-05T06:00:00+0000,126.09,126.95,124.55,126.41,4844204.0
2018-11-06T06:00:00+0000,126.4,129.5,126.31,129.33,4728241.0
2018-11-07T06:00:00+0000,133.52,135.22,130.8836,135.1,7551915.0
2018-11-08T06:00:00+0000,133.83,134.7,130.9,131.39,6269387.0
2018-11-09T06:00:00+0000,129.59,129.6,125.73,126.91,7248374.0
2018-11-12T06:00:00+0000,127.18,128.41,124.59,125.0,5870147.0
2018-11-13T06:00:00+0000,125.5,129.79,125.2824,125.96,5820210.0
2018-11-14T06:00:00+0000,127.27,129.0,123.73,125.1,5516285.0
2018-11-15T06:00:00+0000,124.32,130.282,123.13,129.42,5815233.0
2018-11-16T06:00:00+0000,128.79,131.92,128.05,129.96,5957745.0
2018-11-19T06:00:00+0000,129.15,129.49,125.6,125.98,5385634.0
2018-11-20T06:00:00+0000,123.85,123.97,121.23,122.27,7746223.0
2018-11-21T06:00:00+0000,122.82,126.216,122.51,123.87,4759707.0
2018-11-23T06:00:00+0000,121.96,124.05,121.57,122.32,3130084.0
2018-11-26T06:00:00+0000,123.65,125.79,123.16,124.8,4696631.0
2018-11-27T06:00:00+0000,124.0,124.6,122.3944,124.6,4049366.0
2018-11-28T06:00:00+0000,125.3,130.78,123.84,130.77,5745197.0
2018-11-29T06:00:00+0000,130.8,130.91,127.585,130.23,4999622.0
2018-11-30T06:00:00+0000,130.05,135.97,129.84,135.67,8458179.0
