datetime,open,high,low,close,volume
2018-10-01T05:00:00+0000,53.61,53.915,53.5,53.84,10681955.0
2018-10-02T05:00:00+0000,53.8,54.435,53.6,54.42,12482920.0
2018-10-03T05:00:00+0000,54.74,54.9375,54.135,54.29,14939088.0
2018-10-04T05:00:00+0000,54.345,55.03,53.96,55.02,15788416.0
2018-10-05T05:00:00+0000,55.06,55.435,54.78,54.94,14044890.0
2018-10-08T05:00:00+0000,55.0,55.2099,54.45,55.02,16703659.0
2018-10-09T05:00:00+0000,54.48,55.14,54.03,54.99,16962418.0
2018-10-10T05:00:00+0000,54.99,55.9,54.29,54.33,22025512.0
2018-10-11T05:00:00+0000,54.51,55.16,52.84,53.33,26336195.0
2018-10-12T05:00:00+0000,53.82,53.89,52.82,53.73,18866632.0
2018-10-15T05:00:00+0000,53.88,54.25,53.6,53.6,13022030.0
2018-10-16T05:00:00+0000,53.46,53.8,53.26,53.7,15981237.0
2018-10-17T05:00:00+0000,53.75,54.375,53.525,53.96,14528060.0
2018-10-18T05:00:00+0000,53.86,54.68,53.78,54.65,16865074.0
2018-10-19T05:00:00+0000,54.62,55.5,54.52,54.9,19103293.0
2018-10-22T05:00:00+0000,55.08,55.27,54.61,54.98,21737523.0
2018-10-23T05:00:00+0000,56.09,57.47,56.09,57.21,29328713.0
2018-10-24T05:00:00+0000,57.0,58.44,56.415,57.42,37435638.0
2018-10-25T05:00:00+0000,57.46,57.63,56.17,56.43,25269995.0
2018-10-26T05:00:00+0000,56.26,56.62,55.19,55.51,24973311.0
2018-10-29T05:00:00+0000,55.81,57.15,55.72,56.48,22103692.0
2018-10-30T05:00:00+0000,56.92,58.8,56.92,58.18,25231199.0
2018-10-31T05:00:00+0000,58.32,58.32,56.76,57.09,24214427.0
2018-11-01T05:00:00+0000,56.98,57.28,55.55,56.05,22533201.0
2018-11-02T05:00:00+0000,56.34,57.08,55.92,56.63,14734412.0
2018-11-05T06:00:00+0000,56.51,57.445,56.51,57.21,12733842.0
2018-11-06T06:00:00+0000,57.02,57.35,56.65,57.21,12371207.0
2018-11-07T06:00:00+0000,57.55,57.78,57.035,57.65,14891287.0
2018-11-08T06:00:00+0000,57.695,58.44,57.66,58.27,12482392.0
2018-11-09T06:00:00+0000,58.32,59.2,57.935,58.46,17365762.0
2018-11-12T06:00:00+0000,58.835,59.4,58.54,58.72,13236769.0
2018-11-13T06:00:00+0000,59.09,59.14,58.32,58.66,13047907.0
2018-11-14T06:00:00+0000,59.13,59.32,58.41,58.94,18288710.0
2018-11-15T06:00:00+0000,58.85,59.09,58.45,59.08,17147123.0
2018-11-16T06:00:00+0000,59.06,60.39,58.91,60.21,19470986.0
2018-11-19T06:00:00+0000,60.25,61.32,60.18,60.62,18405731.0
2018-11-20T06:00:00+0000,61.03,61.58,59.17,59.46,22028957.0
2018-11-21T06:00:00+0000,59.26,59.9,58.88,59.16,18482233.0
2018-11-23T06:00:00+0000,58.86,59.0,58.29,58.64,7009050.0
2018-11-26T06:00:00+0000,58.64,59.51,58.31,59.17,12308876.0
2018-11-27T06:00:00+0000,59.21,60.7,59.18,60.65,14114992.0
2018-11-28T06:00:00+0000,60.7,60.73,59.64,60.06,18662989.0
2018-11-29T06:00:00+0000,59.42,59.79,59.26,59.45,14763658.0
2018-11-30T06:00:00+0000,59.57,60.37,59.475,60.3,31142818.0
2018-12-03T06:00:00+0000,59.5,59.75,57.69,58.16,27795428.0
2018-12-04T06:00:00+0000,58.1,59.4,57.96,58.09,21727411.0
2018-12-06T06:00:00+0000,58.18,58.64,57.16,58.08,26880429.0
2018-12-07T06:00:00+0000,57.91,58.43,57.34,57.68,16948126.0
2018-12-10T06:00:00+0000,57.8,58.37,56.87,58.27,16603356.0
2018-12-11T06:00:00+0000,58.77,59.4,58.635,58.85,14991438.0
2018-12-12T06:00:00+0000,57.79,58.19,57.23,57.25,18892182.0
2018-12-13T06:00:00+0000,57.0,57.5,56.81,57.09,15454706.0
2018-12-14T06:00:00+0000,56.95,57.5,56.75,57.08,13960870.0
2018-12-17T06:00:00+0000,57.06,57.31,55.53,55.95,18902523.0
2018-12-18T06:00:00+0000,55.94,56.69,55.31,55.65,18895777.0
2018-12-19T06:00:00+0000,55.72,56.92,55.5022,55.86,20968473.0
2018-12-20T06:00:00+0000,55.92,56.01,54.26,55.07,26897008.0
2018-12-21T06:00:00+0000,54.84,56.53,54.24,54.92,55406307.0
2018-12-24T06:00:00+0000,54.68,55.04,52.94,53.05,15077207.0
2018-12-26T06:00:00+0000,53.23,54.47,52.4,54.44,17970539.0
2018-12-27T06:00:00+0000,54.31,55.17,53.35,55.15,17530977.0
2018-12-28T06:00:00+0000,55.37,55.86,54.9,55.27,14771641.0
2018-12-31T06:00:00+0000,55.53,56.23,55.07,56.22,15331758.0
2019-01-02T06:00:00+0000,56.16,56.16,55.28,56.02,13969691.0
2019-01-03T06:00:00+0000,56.3,56.9899,56.06,56.22,19245411.0
2019-01-04T06:00:00+0000,56.49,56.89,55.95,56.36,17035848.0
2019-01-07T06:00:00+0000,56.76,57.26,56.55,56.72,16348982.0
2019-01-08T06:00:00+0000,57.27,58.69,57.05,58.38,21425008.0
2019-01-09T06:00:00+0000,57.68,57.72,56.85,57.05,18136000.0
2019-01-10T06:00:00+0000,57.29,57.7,56.87,57.6,14259910.0
2019-01-11T06:00:00+0000,57.84,58.255,57.42,58.02,15801548.0
2019-01-14T06:00:00+0000,57.83,58.15,57.675,58.03,11342293.0
2019-01-15T06:00:00+0000,57.74,58.29,57.58,58.1,10057967.0
2019-01-16T06:00:00+0000,57.93,57.93,57.0,57.08,13411691.0
2019-01-17T06:00:00+0000,57.16,57.4,56.21,56.83,15223854.0
2019-01-18T06:00:00+0000,56.92,57.465,56.84,57.09,16802516.0
2019-01-22T06:00:00+0000,57.23,57.39,56.395,56.99,18284771.0
2019-01-23T06:00:00+0000,56.98,57.87,56.93,57.76,15109007.0
2019-01-24T06:00:00+0000,57.61,57.65,56.5,57.07,12494109.0
2019-01-25T06:00:00+0000,57.18,57.47,56.23,56.4,17806822.0
2019-01-28T06:00:00+0000,56.12,56.22,54.8,55.07,25955718.0
2019-01-29T06:00:00+0000,53.62,54.3,52.97,53.28,33789235.0
2019-01-30T06:00:00+0000,53.1,54.02,52.28,54.0,27260036.0
