datetime,open,high,low,close,volume
2018-10-01T05:00:00+0000,49.17,49.22,48.5699,48.8,7636941.0
2018-10-02T05:00:00+0000,48.77,48.9625,48.58,48.76,5823514.0
2018-10-03T05:00:00+0000,49.03,49.19,48.85,48.98,5146373.0
2018-10-04T05:00:00+0000,48.93,48.93,47.87,48.28,5292234.0
2018-10-05T05:00:00+0000,48.35,48.53,47.48,47.82,2648640.0
2018-10-08T05:00:00+0000,47.6,47.83,47.01,47.66,2170015.0
2018-10-09T05:00:00+0000,47.66,48.12,47.57,47.63,1991429.0
2018-10-10T05:00:00+0000,47.53,47.54,45.71,45.75,4050865.0
2018-10-11T05:00:00+0000,45.66,46.27,44.93,45.36,8841290.0
2018-10-12T05:00:00+0000,46.44,46.5,45.59,46.37,5877552.0
2018-10-15T05:00:00+0000,46.21,46.68,46.0,46.19,1576938.0
2018-10-16T05:00:00+0000,46.69,47.505,46.61,47.41,3707728.0
2018-10-17T05:00:00+0000,47.74,47.74,47.11,47.6,4571077.0
2018-10-18T05:00:00+0000,47.49,47.49,46.377,46.73,21297459.0
2018-10-19T05:00:00+0000,47.0,47.41,46.54,46.72,3544398.0
2018-10-22T05:00:00+0000,46.99,47.12,46.51,46.69,2711722.0
2018-10-23T05:00:00+0000,46.03,46.79,45.6378,46.59,2779554.0
2018-10-24T05:00:00+0000,46.58,46.58,44.32,44.37,3552503.0
2018-10-25T05:00:00+0000,45.17,46.15,45.17,45.84,3391689.0
2018-10-26T05:00:00+0000,44.43,45.6,44.04,44.6,5229234.0
2018-10-29T05:00:00+0000,45.3,45.6,43.07,43.91,3490983.0
2018-10-30T05:00:00+0000,43.84,45.17,43.665,45.11,6283632.0
2018-10-31T05:00:00+0000,45.99,46.55,45.79,46.04,3577212.0
2018-11-01T05:00:00+0000,46.19,46.41,45.74,46.31,2550117.0
2018-11-02T05:00:00+0000,46.45,46.7484,45.54,45.84,2628601.0
2018-11-05T06:00:00+0000,45.93,45.93,45.32,45.65,2439542.0
2018-11-06T06:00:00+0000,45.7,46.18,45.57,45.92,2040281.0
2018-11-07T06:00:00+0000,46.39,46.79,46.17,46.76,2705818.0
2018-11-08T06:00:00+0000,46.79,46.79,46.05,46.32,1295743.0
2018-11-09T06:00:00+0000,45.74,45.91,45.01,45.37,2234494.0
2018-11-12T06:00:00+0000,45.32,45.37,44.5,44.69,1203739.0
2018-11-13T06:00:00+0000,44.89,45.29,44.46,44.55,2186090.0
2018-11-14T06:00:00+0000,45.03,45.15,44.4099,44.77,2137620.0
2018-11-15T06:00:00+0000,44.56,45.18,44.44,45.1,3197914.0
2018-11-16T06:00:00+0000,44.84,45.05,44.45,44.88,2092140.0
2018-11-19T06:00:00+0000,44.73,44.76,43.39,43.52,2358029.0
2018-11-20T06:00:00+0000,42.74,43.42,42.38,42.95,5028155.0
2018-11-21T06:00:00+0000,43.39,43.86,43.32,43.46,3187427.0
2018-11-23T06:00:00+0000,43.19,43.33,42.89,42.89,667072.0
2018-11-26T06:00:00+0000,43.39,43.88,43.28,43.87,2563735.0
2018-11-27T06:00:00+0000,43.72,44.15,43.53,44.01,2114395.0
2018-11-28T06:00:00+0000,44.24,44.93,43.73,44.93,2707439.0
2018-11-29T06:00:00+0000,44.69,45.305,44.535,45.08,2247728.0
2018-11-30T06:00:00+0000,45.16,45.16,44.64,45.01,5563462.0
2018-12-03T06:00:00+0000,45.98,45.98,44.9,45.08,5790400.0
2018-12-04T06:00:00+0000,45.0,45.26,43.65,43.75,3268035.0
2018-12-06T06:00:00+0000,43.1,44.24,42.97,44.24,3560387.0
2018-12-07T06:00:00+0000,44.09,44.45,43.21,43.4,2625902.0
2018-12-10T06:00:00+0000,43.52,43.94,42.9071,43.73,3379488.0
2018-12-11T06:00:00+0000,44.26,44.36,43.53,43.77,4425853.0
2018-12-12T06:00:00+0000,44.18,44.8299,44.18,44.24,3352640.0
2018-12-13T06:00:00+0000,44.38,44.54,43.76,44.04,1984075.0
2018-12-14T06:00:00+0000,43.59,44.14,43.52,43.61,1910821.0
2018-12-17T06:00:00+0000,43.45,43.84,42.44,42.76,3275012.0
