datetime,open,high,low,close,volume
2018-10-01T05:00:00+0000,32.61,32.6984,32.34,32.36,3654352.0
2018-10-02T05:00:00+0000,32.37,32.44,32.26,32.26,2752415.0
2018-10-03T05:00:00+0000,32.29,32.405,31.71,31.89,2625236.0
2018-10-04T05:00:00+0000,31.89,31.89,31.47,31.74,2934681.0
2018-10-05T05:00:00+0000,31.78,31.95,31.7,31.75,3406587.0
2018-10-08T05:00:00+0000,31.85,32.305,31.77,32.16,3076178.0
2018-10-09T05:00:00+0000,32.15,32.37,32.01,32.27,4429886.0
2018-10-10T05:00:00+0000,32.18,32.33,31.76,31.76,4361520.0
2018-10-11T05:00:00+0000,31.82,31.85,30.76,30.83,9558497.0
2018-10-12T05:00:00+0000,31.01,31.28,30.65,30.81,5288208.0
2018-10-15T05:00:00+0000,30.8,31.29,30.76,31.0,3894526.0
2018-10-16T05:00:00+0000,31.04,31.675,30.93,31.58,3272185.0
2018-10-17T05:00:00+0000,31.54,31.675,31.26,31.49,3449444.0
2018-10-18T05:00:00+0000,31.48,31.775,31.37,31.5,3345155.0
2018-10-19T05:00:00+0000,31.53,31.93,31.53,31.82,2999908.0
2018-10-22T05:00:00+0000,31.9,31.995,31.36,31.37,4269565.0
2018-10-23T05:00:00+0000,31.28,31.71,31.16,31.57,5159699.0
2018-10-24T05:00:00+0000,31.62,32.21,31.56,31.94,5443614.0
2018-10-25T05:00:00+0000,32.01,32.49,31.86,32.32,5413761.0
2018-10-26T05:00:00+0000,32.18,32.22,31.31,31.48,8951587.0
2018-10-29T05:00:00+0000,31.71,32.15,31.71,32.0,6143161.0
2018-10-30T05:00:00+0000,32.04,32.75,31.96,32.53,7427396.0
2018-10-31T05:00:00+0000,32.53,32.53,32.02,32.09,4202426.0
2018-11-01T05:00:00+0000,32.18,32.315,31.97,32.21,4848839.0
2018-11-02T05:00:00+0000,32.27,32.28,31.58,31.94,6876848.0
2018-11-05T06:00:00+0000,32.02,32.58,32.02,32.47,4093076.0
2018-11-06T06:00:00+0000,32.47,32.66,32.41,32.65,2958751.0
2018-11-07T06:00:00+0000,32.82,33.03,32.625,33.01,3917920.0
2018-11-08T06:00:00+0000,32.97,33.08,32.795,33.08,2664963.0
2018-11-09T06:00:00+0000,33.03,33.2,32.93,33.12,3558677.0
