ticker,data_source,raw_rows,cleaned_rows,invalid_rows_removed,invalid_row_rate_pct,raw_start,raw_end,cleaned_start,cleaned_end,max_consecutive_invalid_rows,raw_normalized_sha256,cleaned_csv_sha256,threshold_status,warnings
AAPL,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,9f841c55336b4f103b114358aa667b37a54900554dddffa4709927f91a553137,9f841c55336b4f103b114358aa667b37a54900554dddffa4709927f91a553137,passed,
AMT,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,30e4a89df8ec86369717479d9ab7271c87b7d9458933c1d03e91f0632b74fdbe,30e4a89df8ec86369717479d9ab7271c87b7d9458933c1d03e91f0632b74fdbe,passed,
AMZN,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,6d4c6098e97aef241149ccd6be520a14a948b7379f84d2cf0e2d646867c88bb7,6d4c6098e97aef241149ccd6be520a14a948b7379f84d2cf0e2d646867c88bb7,passed,
APD,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,3cad066133f91b631dc240e1f6a350b72a4c5b6240c02524f8270bad2616c4fa,dcb939f9d1efb369195c43432376752a13d32085cc929e800b8b2e5074c1ea6f,passed,1 hard-invalid OHLCV rows will be dropped
BAC,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,32f3a4ab5bfdef16eb23bb647aaffb7805b45c376dc9c34d1f42310388867989,4b5dc66173dae9dbc7ddfbe8f8111206fd02012b90d879bbfa5e9244aebc135c,passed,1 hard-invalid OHLCV rows will be dropped
CAT,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,bf6524cddd232658598cd0557629a268de4b3cfe1032906885140b4660f55d9b,2dc4f94ea3813ee53201eabb90dc3b3c66e05215d5a83c0ae63cccbf9f84b8cb,passed,1 hard-invalid OHLCV rows will be dropped
COP,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,d1c4c83fa3bc2af88ee35a076cae94a1314720296ac34c6d0c4c8421da1e9b9e,e4957211022634928933e7f58eac4f27d94bb11c6c236c31a9d0da2156d98b8c,passed,1 hard-invalid OHLCV rows will be dropped
COST,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,409fc5d157547c472adf1ed1849acf64fca64ecd1272c9e014e5cddc5dd2c388,409fc5d157547c472adf1ed1849acf64fca64ecd1272c9e014e5cddc5dd2c388,passed,
CVX,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,c546433beef3565a4b4a087d26fa583bb908fe85d9336a87ed795f716b95ae0b,4e155c1c77ada7f102c1c4c01daf1dfd6b3aad18fa2cc7093f404b79f924e9ae,passed,1 hard-invalid OHLCV rows will be dropped
DUK,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,884647b0210a2f83c9afcf1936567a2d3a039c7b930f5dd4f96edff2de0a73da,884647b0210a2f83c9afcf1936567a2d3a039c7b930f5dd4f96edff2de0a73da,passed,
GOOGL,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,80a479aa7d68810b02ee7a48423c4c57f9a487d00d6eea41f2055636bf0b7ffa,80a479aa7d68810b02ee7a48423c4c57f9a487d00d6eea41f2055636bf0b7ffa,passed,
GS,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,edfd12c5a365ae377c71152f44ed21eb1b62e5ec15427bde296f1f302300f128,edfd12c5a365ae377c71152f44ed21eb1b62e5ec15427bde296f1f302300f128,passed,
HD,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,66e39af6073d3abf90f314028d7d7306d958172417e919298d295a61422770a8,66e39af6073d3abf90f314028d7d7306d958172417e919298d295a61422770a8,passed,
HON,schwab,1823,1819,4,0.219419,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,5b3d5254edf91bae21fe90837d53a194287e38504b00fde8937186930c1169e2,130441c15d8f896149b4a2fd12587acfa2001c59b7014f9c241eaa59b6af6120,passed,4 hard-invalid OHLCV rows will be dropped
JNJ,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,4656029f20706773e137a85032f1032506debe539a8de5c6e865f777f26b4408,da501025b73eee7bfa3a94d01f7295cf3577329a8d088f34400e5fe61a3591af,passed,1 hard-invalid OHLCV rows will be dropped
JPM,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,cef077ad70e0723158d845251e3b2a84723ae3b764540eda56054955f9b529a8,6e17325e161da1b0e1ab2968278bf2b999d0e64f1d4da200e1f1657667809154,passed,1 hard-invalid OHLCV rows will be dropped
LIN,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,2cf3308de846734d0755246574374d12883f8d0c20752d44b9779d18772e8836,2cf3308de846734d0755246574374d12883f8d0c20752d44b9779d18772e8836,passed,
MCD,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,0ae004360a1562b1dd5a678e615013affb7dce232e152b872fcd19ff0ebec06a,e1849264bf6cb76123402151dc1ba8481feda3668851a88640b4e08feb386894,passed,1 hard-invalid OHLCV rows will be dropped
META,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,3d05c2bb4630589da52361bbef46f766c1d34d5667468e5d75a6cf642ebd696e,3d05c2bb4630589da52361bbef46f766c1d34d5667468e5d75a6cf642ebd696e,passed,
MRK,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,f0e3dbfc9dc3211571c66450ebd663ec731c8c9aedbfc48e4066e235ab4a8b00,f0e3dbfc9dc3211571c66450ebd663ec731c8c9aedbfc48e4066e235ab4a8b00,passed,
MSFT,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,1f04b169ef3da631e40a55e49a47f2856658dcaac9f0a2045e8aed0c7aa20cde,1f04b169ef3da631e40a55e49a47f2856658dcaac9f0a2045e8aed0c7aa20cde,passed,
NEE,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,9bd3f1e6c3810f6852885b43fcaa16503076f08e3998aecfee764e64edf71865,9bd3f1e6c3810f6852885b43fcaa16503076f08e3998aecfee764e64edf71865,passed,
NEM,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,9822b667ac2f16a6329f51928fb41c18671e2a8e342557c306b6ab1948114e28,9822b667ac2f16a6329f51928fb41c18671e2a8e342557c306b6ab1948114e28,passed,
NVDA,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,5e5a411f7b5bf2fb6b2cc90398f3d97b22506cbf0991821dc7014d449641e501,5e5a411f7b5bf2fb6b2cc90398f3d97b22506cbf0991821dc7014d449641e501,passed,
PG,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,8ac66a0312b9744c62f2cf331ff4680e12c75a1c7055acce097d83693e7ce041,8ac66a0312b9744c62f2cf331ff4680e12c75a1c7055acce097d83693e7ce041,passed,
PLD,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,f87eed78bbd5e53ce6c9ac3df755eb66b8d531e639c00e16479ca59b494846fe,6d760a544a78922a6661486908879855143c44e0779194a0207f68fbb8159241,passed,1 hard-invalid OHLCV rows will be dropped
SO,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,97e8c508974cc369b4768829fcc44398e722c5280122c72567c2f85df5741659,9d350c3c08566bd943b313006ac6b946a83ba855cfd138777d56bdb8d84ebd12,passed,1 hard-invalid OHLCV rows will be dropped
SPG,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,67ef5cc88249f525fa7096580e417e7fd78cdedcd253b9e77c6a9b0e9d13b20f,67ef5cc88249f525fa7096580e417e7fd78cdedcd253b9e77c6a9b0e9d13b20f,passed,
SPY,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,a55ae76c6476807005a8d5c48931eb07132a3d0f1de19cc36e0ff5dd2ae629b3,a55ae76c6476807005a8d5c48931eb07132a3d0f1de19cc36e0ff5dd2ae629b3,passed,
UNH,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,62c089294f7191b426b85e5153e231f79a99ec752da0569b6330496bc642ae3d,62c089294f7191b426b85e5153e231f79a99ec752da0569b6330496bc642ae3d,passed,
UPS,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,bdd8d5c99c01e05bcb09fc90e0ff09dbd91f5e7f02f7310e60fc4e1edab20fce,3a68780b4a347959a471d339bce787fa30dbc2c85b26b0ac8470c95fb505cb23,passed,1 hard-invalid OHLCV rows will be dropped
VZ,schwab,1823,1823,0,0.0,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,0,befe27a07f044277cf62097af6fe6b22c5fe4e1f0b865773987ccc09723be8fb,befe27a07f044277cf62097af6fe6b22c5fe4e1f0b865773987ccc09723be8fb,passed,
WMT,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,236e5369e722b3c67649af8ba4777699c5872bfd2520c40d988e262cb6c19fd2,85476eb29b1c101292e84b7ddf0954699d3912df8a74b93e8ae1cbcb9a897f41,passed,1 hard-invalid OHLCV rows will be dropped
XLB,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,d4a717f072bad7c06013e71b166f1523496eba5045c72d0c6665813b75f5c284,262d97dccf4f93f189af47e3f1ae847963c7bbfd46e35880997b117bbcaad595,passed,1 hard-invalid OHLCV rows will be dropped
XLC,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,41fbb0e577fdbfe2a4e6cd86cf98568f2237c5429fb2fad8eeffb9e0c7359f16,e7c28baed5770f194ca9c8e842a7533e2441f17bd0f2ae9c3aee5e71cbce47ce,passed,1 hard-invalid OHLCV rows will be dropped
XLE,schwab,1823,1821,2,0.109709,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,b36cbc5af84600b48ee660b756f36204fab26ee808f64d314461a85d3c571fbe,410b3ec001538c532d8f2e216ced8768c1eb13b97562d76b3a1588ea222aaf2d,passed,2 hard-invalid OHLCV rows will be dropped
XLF,schwab,1823,1822,1,0.054855,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,2018-10-01T05:00:00+00:00,2025-12-31T06:00:00+00:00,1,ae09ab71e4baf7e38a44327a2b8d1c58acebe817200fb857d240773af32af208,6aaea32e8a8d1b77e5a9cd336dda25a5b78d217d7900bbd7d152e1c0325849d6,passed,1 hard-invalid OHLCV rows will be dropped
